strain	submitting_lab	originating_lab
A/Netherlands/1/1995	other_database_import	
A/Finland/338/1995	other_database_import	
A/Malaysia/7145/1995	other_database_import	
A/Malaysia/7832/1995	other_database_import	
A/HongKong/3/1995	other_database_import	
A/Alaska/10/1995	other_database_import	
A/Memphis/24/1995	other_database_import	
A/NewYork/632/1996	other_database_import	
A/Netherlands/91/1996	other_database_import	
A/NewYork/634/1995	other_database_import	
A/NewYork/639/1995	other_database_import	
A/NewYork/618/1995	other_database_import	
A/NewYork/613/1996	other_database_import	
A/NewYork/623/1995	other_database_import	
A/NewYork/611/1995	other_database_import	
A/NewYork/628/1995	other_database_import	
A/NewYork/624/1996	other_database_import	
A/NewYork/612/1995	other_database_import	
A/BuenosAires/4065/1995	other_database_import	
A/BuenosAires/4084/1995	other_database_import	
A/Argentina/4057/1995	other_database_import	
A/BuenosAires/4102/1995	other_database_import	
A/BuenosAires/4064/1995	other_database_import	
A/BuenosAires/4098/1995	other_database_import	
A/Netherlands/178/1995	other_database_import	national_institute_for_public_health_and_the_environment_(rivm)
A/HongKong/49/1995	other_database_import	
A/Lyon/1781/1996	other_database_import	
A/Canberra/1/1996-egg		seasonal_h3n2
A/NewYork/631/1996	other_database_import	
A/Malaysia/10135/1996	other_database_import	
A/Malaysia/10111/1996	other_database_import	
A/Malaysia/10081/1996	other_database_import	
A/HongKong/55/1995	other_database_import	
A/Oslo/21/1997	other_database_import	
A/NewYork/581/1997	other_database_import	
A/NewYork/579/1997	other_database_import	
A/HongKong/CUHK4147/1997	other_database_import	
A/NewYork/583/1997	other_database_import	
A/NewYork/580/1996	other_database_import	
A/NewYork/575/1996	other_database_import	
A/NewYork/565/1996	other_database_import	
A/Lyon/2279/1995	other_database_import	
A/Finland/381/1995	other_database_import	
A/Idaho/4/1995	other_database_import	
A/Miyagi/29/1995	other_database_import	
A/HongKong/42/1996	other_database_import	
A/Fukushima/114/1996	other_database_import	
A/Nanchang/933/1995	erasmus_medical_center	erasmus_medical_center
A/Niigata/137/1996	other_database_import	
A/Nanchang/933/1995-egg	erasmus_medical_center	erasmus_medical_center
A/Wuhan/359/1995	other_database_import	
A/Brisbane/7/1996	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
A/Malaysia/7831/1995	other_database_import	
A/Auckland/5/1996-egg		seasonal_h3n2
A/Auckland/5/1996	other_database_import	auckland_healthcare
A/Auckland/19/1996-egg		seasonal_h3n2
A/Auckland/19/1996	other_database_import	
A/Wellington/48/1996	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_environmental_science_and_research_(esr)
A/Brisbane/8/1996	erasmus_medical_center	erasmus_medical_center
A/NewYork/558/1997	other_database_import	
A/NewYork/593/1996	other_database_import	
A/NewYork/585/1997	other_database_import	
A/Brisbane/22/1996	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
A/Bangkok/1/1997-egg	who_collaborating_centre_for_reference_and_research_on_influenza	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Christchurch/1/1996	who_collaborating_centre_for_reference_and_research_on_influenza	canterbury_health_services
A/HongKong/20/1996	other_database_import	
A/NewYork/589/1996	other_database_import	
A/NewYork/597/1997	other_database_import	
A/NewYork/578/1996	other_database_import	
A/NewYork/598/1996	other_database_import	
A/HongKong/357/1996	other_database_import	
A/Malaysia/10370/1996	other_database_import	
A/Malaysia/10360/1996	other_database_import	
A/Shiga/25/1997	other_database_import	
A/NewYork/556/1996	other_database_import	
A/NewYork/573/1996	other_database_import	
A/HongKong/358/1996	other_database_import	
A/Athens/2/1997	other_database_import	
A/NewYork/569/1997	other_database_import	
A/NewYork/596/1996	other_database_import	
A/Siena/1/1997	other_database_import	
A/Athens/1/1998	other_database_import	
A/SouthAfrica/1147/1996-egg	other_database_import	
A/Athens/23/1997	other_database_import	
A/Fukushima/140/1996	other_database_import	
A/HongKong/CUHK20523/1997	other_database_import	
A/Sydney/74B/1997	who_collaborating_centre_for_reference_and_research_on_influenza	westmead_hospital
A/Finland/541/1998	other_database_import	
A/HongKong/CUHK10954/1998	other_database_import	
A/NewYork/517/1998	other_database_import	
A/Greece/18/1998	other_database_import	
A/Athens/16/1998	other_database_import	
A/Memphis/31/1998	other_database_import	
A/Greece/106/1998	other_database_import	
A/Greece/109/1999	other_database_import	
A/HongKong/CUHK41507/1997	other_database_import	
A/HongKong/CUHK41459/1997	other_database_import	
A/HongKong/CUHK41114/1997	other_database_import	
A/SantaFe/5456/1997	other_database_import	
A/LaPlata/12089/1997	other_database_import	
A/NewYork/505/1997	other_database_import	
A/NewYork/548/1998	other_database_import	
A/NewYork/546/1998	other_database_import	
A/NewYork/522/1997	other_database_import	
A/Perth/14/1997	who_collaborating_centre_for_reference_and_research_on_influenza	pathwest_qe_ii_medical_centre
A/Athens/76/1998	other_database_import	
A/NewYork/532/1998	other_database_import	
A/NewYork/545/1997	other_database_import	
A/Auckland/10/1997	other_database_import	
A/Netherlands/300/1997	other_database_import	
A/NewYork/540/1998	other_database_import	
A/NewYork/501/1997	other_database_import	
A/Perth/12/1997	who_collaborating_centre_for_reference_and_research_on_influenza	pathwest_qe_ii_medical_centre
A/Perth/13/1997	who_collaborating_centre_for_reference_and_research_on_influenza	pathwest_qe_ii_medical_centre
A/Perth/15/1997	who_collaborating_centre_for_reference_and_research_on_influenza	pathwest_qe_ii_medical_centre
A/Sydney/5/1997-egg	erasmus_medical_center	erasmus_medical_center
A/Sydney/5/1997	erasmus_medical_center	erasmus_medical_center
A/Sydney/11/1998	who_collaborating_centre_for_reference_and_research_on_influenza	clinical_virology_unit,_cdim
A/HongKong/CUHK41757/1997	other_database_import	
A/Malaysia/5/1999	who_collaborating_centre_for_reference_and_research_on_influenza	institute_for_medical_research
A/Malaysia/10879/1996	other_database_import	
A/Malaysia/10807/1996	other_database_import	
A/Malaysia/10969/1996	other_database_import	
A/Malaysia/10717/1996	other_database_import	
A/Malaysia/10970/1996	other_database_import	
A/UnitedKingdom/34300/1999	other_database_import	
A/NewYork/262/1999	other_database_import	
A/NewYork/240/1998	other_database_import	
A/Berlin/177/1999	other_database_import	
A/NewYork/459/1999	other_database_import	
A/NewYork/313/1998	other_database_import	
A/NewYork/457/1999	other_database_import	
A/NewYork/252/1999	other_database_import	
A/NewYork/280/1999	other_database_import	
A/NewYork/320/1999	other_database_import	
A/HongKong/CUHK10537/1998	other_database_import	
A/SriLanka/4/1998	who_collaborating_centre_for_reference_and_research_on_influenza	medical_research_institute
A/HongKong/CUHK10216/1998	other_database_import	
A/HongKong/CUHK10186/1998	other_database_import	
A/NewYork/289/1998	other_database_import	
A/NewYork/339/1999	other_database_import	
