strain	originating_lab	submitting_lab
A/HongKong/1/2009	queen_mary_hospital	state_key_laboratory_of_emerging_infectious_diseases
A/Denmark/523/2009	statens_serum_institute	other_database_import
A/Delhi/NIV3610/2009		other_database_import
A/Kikuyu/184/2009	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Kisumu/61/2009	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Wisconsin/629-D00183/2009		other_database_import
A/Fujian/SWL3/2009-egg		who_chinese_national_influenza_center
A/SanDiego/INS10/2009		other_database_import
A/Taiwan/14/2009		other_database_import
A/Malaysia/2135565/2009		other_database_import
A/Sydney/DD3-03/2010		other_database_import
A/SriLanka/2008/2009		other_database_import
A/ElSalvador/1553/2009-egg	contiguo_a_hospital_rosales	centers_for_disease_control_and_prevention
A/ElSalvador/1553/2009	contiguo_a_hospital_rosales	centers_for_disease_control_and_prevention
A/Bogota/WRAIR0440T/2009		other_database_import
A/Bishkek/WRAIR0883N/2009		other_database_import
A/Bamako/WR2361N/2009		other_database_import
A/Managua/WRAIR1689P/2009		other_database_import
A/AddisAbaba/WR2848T/2009		other_database_import
A/Belgrade/WRAIR2384N/2009		other_database_import
A/Lagos/WRAIR1982N/2009		other_database_import
A/HongKong/WRAIR0114T/2009		other_database_import
A/Indonesia/NIHRD1608/2009		national_institute_of_health_research_and_development
A/Australia/42/2009		other_database_import
A/Brownsville/37OS/2009		other_database_import
A/Mexico/LaGloria-3/2009-egg		other_database_import
A/Mexico/LaGloria-4/2009-egg		other_database_import
A/Mexico/LaGloria-8/2009-egg		other_database_import
A/Shanghai/SWL119/2009		who_chinese_national_influenza_center
A/Beijing/1/2009	who_chinese_national_influenza_center	other_database_import
A/Tianjin/SWL1/2009-egg		who_chinese_national_influenza_center
A/Narita/1/2009		other_database_import
A/SantoDomingo/1066N/2009		other_database_import
A/Lima/WRAIR1687P/2009		other_database_import
A/SantoDomingo/574T/2009		other_database_import
A/Wisconsin/629-D00022/2009		other_database_import
A/Vladivostok/IIV18/2009		other_database_import
A/England/195/2009-egg	microbiology_services_colindale,_public_health_england	centers_for_disease_control_and_prevention
A/England/195/2009	microbiology_services_colindale,_public_health_england	national_institute_for_medical_research
A/Bangalore/NIV236/2009		other_database_import
A/Singapore/GP2686/2009		other_database_import
A/Pune/NIV10604/2009		other_database_import
A/Pune/NIV6196/2009		other_database_import
A/Guam/NHRC0004/2009		other_database_import
A/Nashik/NIV10348/2009		other_database_import
A/England/443/2009		other_database_import
A/Ireland/5/2009		other_database_import
A/Tokushima/1/2009		other_database_import
A/Taiwan/T1773/2009		other_database_import
A/NewYork/4197/2009		other_database_import
A/Bhutan/739/2009	thailand_moph_u.s._cdc_collaboration_(ieip)	centers_for_disease_control_and_prevention
A/Utsunomiya/1/2009		other_database_import
A/Niigata/700/2009		other_database_import
A/Paris/2709/2009		institut_pasteur
A/SantoDomingo/572N/2009		other_database_import
A/Lorraine/5510/2009		institut_pasteur
A/Taiwan/1164/2010		other_database_import
A/Dakar/WRAIR0020T/2010		other_database_import
A/SantoDomingo/WRAIR1414N/2009		other_database_import
A/Dakar/WRAIR0019T/2010		other_database_import
A/Moscow/WRAIR4316T/2011		other_database_import
A/Moscow/WRAIR4316N/2011		other_database_import
A/Mali/A_Mali-PERCH_011_2012/2012	virus_epidemiology_research_group,_kenya_medical_research_institute	
A/Mali/A_Mali-PERCH_009_2012/2012	virus_epidemiology_research_group,_kenya_medical_research_institute	
A/Zhejiang/82/2009		other_database_import
A/Texas/JMS409/2009		other_database_import
A/Tennessee/F1076A/2010		other_database_import
A/Texas/JMS405/2009		other_database_import
A/KhonKaen/INS457/2010		other_database_import
A/KhonKaen/INS454/2010		other_database_import
A/KhonKaen/INS447/2010		other_database_import
A/KhonKaen/INS441/2010		other_database_import
A/Warsaw/INS148/2009		other_database_import
A/ChampagneArdenne/659/2011		institut_pasteur
A/Centre/81/2011		institut_pasteur
A/England/862/2009		other_database_import
A/Belgorod/1/2009-egg	russian_academy_of_medical_sciences	centers_for_disease_control_and_prevention
A/Aalborg/INS133/2009		other_database_import
A/Athens/INS421/2010		other_database_import
A/LosAngeles/INS423/2010		other_database_import
A/Connecticut/2/2010	connecticut_department._of_public_health	centers_for_disease_control_and_prevention
A/NewYork/6864/2009		other_database_import
A/SriLanka/2009/2009		other_database_import
A/California/VRDL75/2009		other_database_import
