strain	submitting_lab	originating_lab
B/Henan/22/1997	other_database_import	
B/Nanchang/2/1997	other_database_import	
B/Nanchang/6/1998	other_database_import	
B/Chiba/447/1998	other_database_import	
B/Beijing/243/1997	other_database_import	
B/Shandong/7/1997	other_database_import	erasmus_medical_center
B/Osaka/547/1997	other_database_import	
B/Malaysia/15048/1998	other_database_import	
B/Shiga/51/1998	other_database_import	
B/Akita/27/2001-egg	pa	seasonal_vic
B/HongKong/330/2001-egg	pa	seasonal_vic
B/HongKong/330/2001	other_database_import	
B/HongKong/6/2001-egg	pa	seasonal_vic
B/HongKong/22/2001	other_database_import	
B/HongKong/123/2001-egg	pa	seasonal_vic
B/HongKong/28/2001	other_database_import	
B/Hawaii/10/2001-egg	pa	seasonal_vic
B/HongKong/1115/2002-egg	pa	seasonal_vic
B/HongKong/167/2002-egg	pa	seasonal_vic
B/Victoria/506/2002	other_database_import	
B/HongKong/1434/2002-egg	pa	seasonal_vic
B/Trieste/28/2002	other_database_import	
B/Oklahoma/WRAIR1587P/2009	other_database_import	
B/Nagasaki/635/2018-egg	pa	seasonal_vic
B/Nagasaki/635/2018	national_institute_of_infectious_diseases_(niid)	nagasaki_prefectural_institute_for_environment_research_and_public_health
B/Otago/13/2005	other_database_import	
B/Otago/18/2005	other_database_import	
B/Christchurch/263/2005	other_database_import	
B/Sydney/15/2005	other_database_import	
B/Tehran/80/2002	other_database_import	
B/Barcelona/215/2003	other_database_import	
B/India/VD1041860/2010	other_database_import	
B/Houston/B70/2002	other_database_import	
B/NewYork/1049/2002	other_database_import	
B/LosAngeles/1/2002	other_database_import	
B/Wellington/2/2002	other_database_import	
B/Dunedin/1/2002	other_database_import	
B/Sydney/7/2002	other_database_import	
B/NewYork/1051/2002	other_database_import	
B/Brisbane/27/2002-egg	other_database_import	
B/Brisbane/4/2002	other_database_import	
B/Sydney/202/2002	other_database_import	
B/Brisbane/30/2002-egg	other_database_import	
B/Brisbane/8/2002	other_database_import	
B/Victoria/356/2002	other_database_import	
B/Sydney/53/2002	other_database_import	
B/Brisbane/25/2002-egg	other_database_import	
B/Brisbane/24/2002-egg	other_database_import	
B/Taiwan/2643/2002-egg	other_database_import	
B/Victoria/159/2002	other_database_import	
B/Iowa/3/2002-egg	pa	seasonal_vic
B/Sydney/211/2002	other_database_import	
B/Christchurch/118/2002	other_database_import	
B/Waikato/20/2002	other_database_import	
B/Wellington/5/2002	other_database_import	
B/Waikato/27/2002	other_database_import	
B/Brisbane/7/2002	other_database_import	
B/Moscow/3/2003	other_database_import	
B/Sydney/84/2002	other_database_import	
B/Sydney/24/2002	other_database_import	
B/Sydney/45/2002	other_database_import	
B/Sydney/204/2002	other_database_import	
B/Townsville/1/2002	other_database_import	
B/Victoria/349/2002	other_database_import	
B/Victoria/115/2002	other_database_import	
B/Victoria/114/2002	other_database_import	
B/Victoria/158/2002	other_database_import	
B/Victoria/503/2002	other_database_import	
B/Brisbane/59/2002	other_database_import	
B/Victoria/354/2002	other_database_import	
B/Victoria/351/2002	other_database_import	
B/Townsville/11/2002	other_database_import	
B/Houston/B75/2002	other_database_import	
B/Brisbane/32/2002-egg	pa	seasonal_vic
B/Christchurch/90/2002	other_database_import	
B/Taiwan/3246/2002-egg	other_database_import	
B/Houston/B71/2002	other_database_import	
B/Houston/B74/2002	other_database_import	
B/Houston/B77/2002	other_database_import	
B/Christchurch/86/2002	other_database_import	
B/Georgia/NHRC0001/2003	other_database_import	
B/NewYork/1056/2003	other_database_import	
B/NewYork/1057/2003	other_database_import	
B/NewYork/1055/2003	other_database_import	
B/Houston/B88/2003	other_database_import	
B/Hawaii/NHRC0001/2003	other_database_import	
B/Victoria/413/2002	other_database_import	
B/HongKong/553a/2003	other_database_import	
B/Jeju/303/2003	other_database_import	
B/Singapore/616/2008	who_collaborating_centre_for_reference_and_research_on_influenza	singapore_general_hospital
B/Thailand/CU-B2390/2010	other_database_import	
B/Thailand/CU-B4585/2011	other_database_import	
B/Lao/89/2011	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
B/Vietnam/92/2011	centers_for_disease_control_and_prevention	national_institute_of_hygiene_and_epidemiology
B/Malaysia/29570/2004	other_database_import	
B/Waikato/188/2005	other_database_import	
B/Auckland/109/2005	other_database_import	
B/Wellington/18/2005	other_database_import	
B/Wellington/3/2005	other_database_import	
B/Christchurch/209/2005	other_database_import	
B/Waikato/58/2005	other_database_import	
B/Malaysia/2506/2004-egg	other_database_import	
B/Malaysia/30552/2004	other_database_import	
B/Malaysia/30589/2005	other_database_import	
B/Malaysia/31752/2005	other_database_import	
B/Auckland/4/2005	other_database_import	
B/Taiwan/417/2005-egg	other_database_import	
B/Taiwan/94/2005	other_database_import	
B/Taiwan/70061/2006	other_database_import	
B/Sydney/19/2005	other_database_import	
B/Townsville/4/2005	other_database_import	
B/Malaysia/30474/2004	other_database_import	
B/Malaysia/31529/2005	other_database_import	
B/Malaysia/1733951/2007	other_database_import	
B/Malaysia/33951/2006	other_database_import	
B/Malaysia/33271/2005	other_database_import	
B/Malaysia/33021/2005	other_database_import	
B/Malaysia/34079/2006	other_database_import	
B/Malaysia/33922/2006	other_database_import	
B/Malaysia/1723975/2007	other_database_import	
B/Malaysia/33808/2006	other_database_import	
B/Malaysia/34094/2006	other_database_import	
B/Malaysia/33772/2005	other_database_import	
B/Malaysia/1781325/2007	other_database_import	
B/Malaysia/33937/2006	other_database_import	
B/Fujian/Gulou1272/2008-egg	other_database_import	
B/Taiwan/70690/2006	other_database_import	
B/Sydney/3/2009	other_database_import	clinical_virology_unit,_cdim
B/HongKong/230/2009-egg	centers_for_disease_control_and_prevention	government_virus_unit
B/Beijing-Xicheng/11082/2010	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/HongKong/310/2004-egg	pa	seasonal_vic
B/HongKong/310/2004	other_database_import	
B/Malaysia/30238/2004	other_database_import	
B/Malaysia/30743/2005	other_database_import	
B/Nepal/1331/2005-egg	pa	seasonal_vic
B/Nepal/1331/2005	other_database_import	
