strain	originating_lab	submitting_lab
A/Dakar/20/2012	institut_pasteur_de_dakar	national_institute_for_medical_research
A/Dakar/22/2012	institut_pasteur_de_dakar	national_institute_for_medical_research
A/BurkinaFaso/876/2013	irss	centers_for_disease_control_and_prevention
A/BurkinaFaso/875/2013	irss	centers_for_disease_control_and_prevention
A/BurkinaFaso/859/2013	irss	centers_for_disease_control_and_prevention
A/Mali/A_Mali-PERCH_009_2012/2012	virus_epidemiology_research_group,_kenya_medical_research_institute	
A/CoteDIvoire/1575/2013	pasteur_institut_of_côte_d'ivoire	centers_for_disease_control_and_prevention
A/CoteDIvoire/1186/2012	pasteur_institut_of_côte_d'ivoire	centers_for_disease_control_and_prevention
A/Pune/NIV10604/2009		other_database_import
A/Thailand/CU-B938/2009		other_database_import
A/Bolivia/1352/2009	cenetrop	centers_for_disease_control_and_prevention
A/Beijing/1/2009	who_chinese_national_influenza_center	other_database_import
A/Thailand/CU-MV45/2009		other_database_import
A/Texas/17/2009-egg		centers_for_disease_control_and_prevention
A/Korea/9741/2009-egg	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Kuwait/4536/2009	u.s._naval_medical_research_unit_no.3	centers_for_disease_control_and_prevention
A/Guangdong/1/2009-egg		who_chinese_national_influenza_center
A/CastillaLaMancha/GP13/2009		other_database_import
A/Auckland/1/2009	auckland_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Thailand/CU-MV5/2009		other_database_import
A/Mexico/LaGloria-8/2009-egg		other_database_import
A/Mexico/3955/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Mexico/4108/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Mexico/4108/2009	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Shizuoka-C/97/2009		other_database_import
A/Colombia/330/2009	instituto_nacional_de_salud_de_columbia	centers_for_disease_control_and_prevention
A/SouthCarolina/9/2009		centers_for_disease_control_and_prevention
A/Arizona/4/2009-egg		centers_for_disease_control_and_prevention
A/California/6/2009	naval_health_research_center	centers_for_disease_control_and_prevention
A/Mexico/4603/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Mexico/4482/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/MexicoCity/4/2009		other_database_import
A/Arizona/3/2009-egg		centers_for_disease_control_and_prevention
A/Brazil/441/2009-egg	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	centers_for_disease_control_and_prevention
A/California/7/2009-egg	naval_health_research_center	centers_for_disease_control_and_prevention
A/California/7-JRO10/2009-egg	seasonal_h1n1pdm	mp
A/England/414/2010		other_database_import
A/California/8/2009	naval_health_research_center	centers_for_disease_control_and_prevention
A/Mexico/LaGloria-4/2009-egg		other_database_import
A/Colorado/4/2009-egg		centers_for_disease_control_and_prevention
A/Mexico/4603/2009	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Texas/20/2009-egg		centers_for_disease_control_and_prevention
A/Pune/NIV6196/2009		other_database_import
A/Pune/NIV8489/2009		other_database_import
A/NewBrunswick/RV2478/2009		other_database_import
A/Narita/1/2009		other_database_import
A/Catalonia/122/2009		other_database_import
A/SouthCarolina/10/2009-egg		centers_for_disease_control_and_prevention
A/Texas/5/2009-egg	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Texas/5/2009	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Texas/4/2009-egg	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Texas/4/2009	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Mexico/4482/2009	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Texas/11/2009-egg		centers_for_disease_control_and_prevention
A/Texas/10/2009-egg		centers_for_disease_control_and_prevention
A/England/195/2009-egg	microbiology_services_colindale,_public_health_england	centers_for_disease_control_and_prevention
A/Manitoba/RV2121/2009		other_database_import
A/Mexico/4486/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/California/8/2009-egg	naval_health_research_center	centers_for_disease_control_and_prevention
A/Mexico/LaGloria-3/2009-egg		other_database_import
A/Mexico/InDRE4487/2009-egg		centers_for_disease_control_and_prevention
A/California/7/2009	naval_health_research_center	centers_for_disease_control_and_prevention
A/SouthCarolina/9/2009-egg		centers_for_disease_control_and_prevention
A/Idaho/2/2009		centers_for_disease_control_and_prevention
A/Mexico/4486/2009	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Uganda/MUWRP-220/2010		other_database_import
A/MexicoCity/INER9/2010		other_database_import
A/Wisconsin/4/2010-egg	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/Gansu-Chengguan/SWL157/2010-egg		who_chinese_national_influenza_center
A/Kaliningrad/1/2009-egg	russian_academy_of_medical_sciences	centers_for_disease_control_and_prevention
A/Brazil/AVS07/2009		other_database_import
A/Argentina/HNRG21/2009-egg		other_database_import
A/Argentina/8673/2009		other_database_import
A/Shenzhen/40/2009		other_database_import
A/Shanghai/SWL4/2009-egg		who_chinese_national_influenza_center
A/Arizona/20/2009-egg	arizona_department_of_health_services	centers_for_disease_control_and_prevention
