strain	submitting_lab	originating_lab
A/Kanagawa/IC18102/2019	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Kanagawa/ZC1805/2019-egg	centers_for_disease_control_and_prevention	national_institute_of_infectious_diseases_(niid)
A/HongKong/CUHK3051/2019	chinese_university_of_hong_kong	the_chinese_university_of_hong_kong
A/HongKong/CUHK3056/2019	chinese_university_of_hong_kong	the_chinese_university_of_hong_kong
A/HongKong/CUHK3047/2019	chinese_university_of_hong_kong	the_chinese_university_of_hong_kong
A/Kanagawa/AC1878/2019	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Kanagawa/IC1870/2019	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Kanagawa/IC1894/2019	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Singapore/TT0649/2019	ministry_of_health,_singapore	ministry_of_health,_singapore
A/SouthAustralia/9/2020	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_medical_and_veterinary_science_(imvs)
A/Italy/10797/2019	u.s._air_force_school_of_aerospace_medicine	u.s._air_force_school_of_aerospace_medicine_
A/Victoria/742/2019	who_collaborating_centre_for_reference_and_research_on_influenza	monash_medical_centre
A/Christchurch/515/2019-egg	centers_for_disease_control_and_prevention	canterbury_health_services
A/Victoria/2153/2019	who_collaborating_centre_for_reference_and_research_on_influenza	alfred_hospital
A/Tasmania/515/2019	who_collaborating_centre_for_reference_and_research_on_influenza	hobart_pathology
A/SouthAfrica/R06421/2019-egg	centers_for_disease_control_and_prevention	national_institute_for_communicable_disease
A/SouthAfrica/R05234/2019	national_institute_for_communicable_diseases_(nicd)	national_institute_for_communicable_diseases_(nicd)
A/MinasGerais/202012671/2019	centers_for_disease_control_and_prevention	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Marilia/1344855-IAL/2019	centers_for_disease_control_and_prevention	instituto_adolfo_lutz
A/Canberra/399/2019	who_collaborating_centre_for_reference_and_research_on_influenza	canberra_hospital
A/Lao/F0453/2020	national_institute_of_infectious_diseases_(niid)	national_center_for_laboratory_and_epidemiology
A/PaysDeLoire/529/2020	institut_pasteur	institut_pasteur
A/Alagoas/496/2020	centers_for_disease_control_and_prevention	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Bahia/447803/2020	laborat?rio_central_de_sa?de_publica_do_estado_da_bahia	laboratório_central_de_saúde_pública_professor_gonçalo_moniz,_lacen_ba
A/RioDeJaneiro/1990/2020	centers_for_disease_control_and_prevention	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/MinasGerais/12710/2020	centers_for_disease_control_and_prevention	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Maldives/1001/2018	centers_for_disease_control_and_prevention	ministry_of_health
A/Maldives/657/2018	centers_for_disease_control_and_prevention	ministry_of_health
A/Maldives/931/2018	centers_for_disease_control_and_prevention	ministry_of_health
A/Maldives/964/2018	centers_for_disease_control_and_prevention	ministry_of_health
A/HongKong/CUHK3020/2019	chinese_university_of_hong_kong	the_chinese_university_of_hong_kong
A/Maldives/343/2018	centers_for_disease_control_and_prevention	ministry_of_health
A/Maldives/993/2018	centers_for_disease_control_and_prevention	ministry_of_health
A/SriLanka/59/2018	who_collaborating_centre_for_reference_and_research_on_influenza	medical_research_institute
A/SouthAustralia/184/2018	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_medical_and_veterinary_science_(imvs)
A/Singapore/SGH0128/2019	ministry_of_health,_singapore	ministry_of_health,_singapore
A/AbuDhabi/97/2018	centers_for_disease_control_and_prevention	shaikh_khalifa_medical_city
A/Linkoping/59/2018	public_health_agency_of_sweden	
A/Singapore/KK0291/2019	ministry_of_health,_singapore	ministry_of_health,_singapore
A/AbuDhabi/7/2019	centers_for_disease_control_and_prevention	shaikh_khalifa_medical_city
A/Mali/91/2018	centers_for_disease_control_and_prevention	nic_lab_cvd_mali
A/Kuwait/7166/2019	centers_for_disease_control_and_prevention	public_health_laboratory,_virology_unit
A/StPetersburg/RII-2015S/2020	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation
A/England/194520480/2019	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/StPetersburg/RII-810S/2020	who_national_influenza_centre_russian_federation	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation
A/Norway/2279/2019-egg	centers_for_disease_control_and_prevention	who_national_influenza_centre
A/Kitakyushu/1/2020	centers_for_disease_control_and_prevention	kitakyusyu_city_institute_of_enviromental_sciences
