strain	originating_lab	submitting_lab
B/California/1/1995-egg	seasonal_yam	pb1
B/Russia/22/1995-egg	seasonal_yam	pb1
B/Beijing/76/1998		other_database_import
B/HongKong/542/2000-egg	seasonal_yam	pb1
B/HongKong/557/2000-egg	seasonal_yam	pb1
B/HongKong/557/2000		other_database_import
B/Moscow/16/2002-egg	seasonal_yam	pb1
B/Victoria/108/2002		other_database_import
B/Johannesburg/69/2001-egg	seasonal_yam	pb1
B/Victoria/353/2002		other_database_import
B/Victoria/142/2002		other_database_import
B/Victoria/341/2002	royal_chidrens_hospital	other_database_import
B/Argentina/132/2001		other_database_import
B/UlanUde/6/2003-egg	seasonal_yam	pb1
B/UlanUde/4/2002		other_database_import
B/Christchurch/188/2004		other_database_import
B/Christchurch/335/2004		other_database_import
B/Georgia/9/2005		other_database_import
B/Victoria/502/2005	monash_medical_centre	other_database_import
B/Malaysia/30397/2004		other_database_import
B/Victoria/500/2003		other_database_import
B/Malaysia/27127/2004		other_database_import
B/Oslo/71/2004		other_database_import
B/Victoria/104/2004		other_database_import
B/Victoria/509/2004	monash_medical_centre	other_database_import
B/Sydney/24/2005		other_database_import
B/Florida/7/2004		other_database_import
B/Wellington/2/2004		other_database_import
B/Wellington/4/2004		other_database_import
B/Sydney/203/2004		other_database_import
B/Sydney/200/2004		other_database_import
B/Sydney/2/2004		other_database_import
B/Brisbane/1/2004		other_database_import
B/Sydney/202/2004		other_database_import
B/Sydney/5/2004		other_database_import
B/Colorado/4/2004-egg	seasonal_yam	pb1
B/Brisbane/19/2004		other_database_import
B/NewJersey/NHRC0001/2005		other_database_import
B/Houston/B846/2005		other_database_import
B/Victoria/506/2004		other_database_import
B/Victoria/501/2005		other_database_import
B/Victoria/517/2004		other_database_import
B/Victoria/304/2004		other_database_import
B/Victoria/503/2005		other_database_import
B/Christchurch/287/2004		other_database_import
B/Christchurch/33/2004		other_database_import
B/Christchurch/6/2004		other_database_import
B/Brisbane/14/2004		other_database_import
B/Wellington/5/2004		other_database_import
B/Victoria/107/2004		other_database_import
B/Victoria/516/2004		other_database_import
B/Sydney/6/2004		other_database_import
B/Victoria/110/2004		other_database_import
B/Victoria/302/2004		other_database_import
B/Christchurch/8/2005		other_database_import
B/Victoria/507/2005	monash_medical_centre	other_database_import
B/Victoria/507/2004		other_database_import
B/Victoria/305/2004		other_database_import
B/NewYork/1069/2005		other_database_import
B/NewYork/1064/2004		other_database_import
B/NewYork/1063/2004		other_database_import
B/Egypt/2040/2004		other_database_import
B/Taiwan/2171/2004-egg		other_database_import
B/Victoria/108/2004		other_database_import
B/Victoria/109/2004		other_database_import
B/Auckland/1/2004		other_database_import
B/Victoria/501/2004	monash_medical_centre	other_database_import
B/Victoria/504/2005		other_database_import
B/Townsville/1/2003		other_database_import
B/NewYork/1082/2005		other_database_import
B/Brisbane/6/2004		other_database_import
B/Brisbane/8/2004		other_database_import
B/Brisbane/9/2004		other_database_import
B/Brisbane/12/2004		other_database_import
B/Brisbane/10/2004		other_database_import
B/Brisbane/11/2004		other_database_import
B/Brisbane/7/2004		other_database_import
B/England/23/2004		other_database_import
B/Victoria/102/2005		other_database_import
B/Victoria/102/2004		other_database_import
B/Victoria/101/2004		other_database_import
B/Waikato/3/2004		other_database_import
B/Brisbane/13/2004	queensland_health_forensic_and_scientific_services_	other_database_import
B/Brisbane/3/2004		other_database_import
B/Victoria/105/2004		other_database_import
B/Brisbane/2/2004		other_database_import
B/Christchurch/281/2004		other_database_import
B/Brisbane/17/2004		other_database_import
B/Brisbane/18/2004		other_database_import
B/Waikato/1/2005		other_database_import
B/Sydney/201/2004		other_database_import
B/Victoria/513/2004		other_database_import
B/Brisbane/5/2004		other_database_import
B/Waikato/1/2004		other_database_import
B/Houston/B745/2005		other_database_import
B/Sydney/23/2005		other_database_import
B/Taiwan/383/2005		other_database_import
B/Victoria/113/2004		other_database_import
B/Houston/B720/2004		other_database_import
B/Victoria/117/2005		other_database_import
B/Sydney/17/2005		other_database_import
B/Missouri/NHRC0001/2005		other_database_import
B/Victoria/124/2005		other_database_import
B/Houston/B850/2005		other_database_import
B/Wellington/86/2005		other_database_import
B/Wellington/16/2005		other_database_import
B/Newcastle/1/2005		other_database_import
B/Brisbane/104/2005		other_database_import
B/NewYork/1085/2005		other_database_import
B/NewYork/1070/2005		other_database_import
B/Sydney/1/2005		other_database_import
B/Victoria/519/2004		other_database_import
B/California/NHRC0005/2005		other_database_import
B/Christchurch/4/2005		other_database_import
B/Victoria/125/2005		other_database_import
B/Sydney/501/2005		other_database_import
B/Sydney/7/2005		other_database_import
B/Sydney/21/2005		other_database_import
B/Sydney/28/2005		other_database_import
B/Sydney/26/2005		other_database_import
B/Sydney/22/2005		other_database_import
B/California/NHRC0001/2004		other_database_import
B/Sydney/13/2005		other_database_import
B/NewYork/1080/2005		other_database_import
B/Houston/B787/2005		other_database_import
B/Colorado/13/2004-egg	seasonal_yam	pb1
B/NewYork/1067/2004		other_database_import
B/NewYork/1072/2005		other_database_import
B/Houston/B756/2005		other_database_import
B/Texas/NHRC0001/2005		other_database_import
B/NewYork/1066/2004		other_database_import
B/NewYork/1065/2004		other_database_import
B/California/NHRC0006/2005		other_database_import
B/California/NHRC0002/2006		other_database_import
B/California/NHRC0007/2005		other_database_import
B/California/NHRC0004/2005		other_database_import
B/California/NHRC0003/2005		other_database_import
B/California/NHRC0002/2005		other_database_import
B/California/NHRC0001/2005		other_database_import
B/Sydney/204/2006		other_database_import
B/Sydney/209/2006		other_database_import
B/Sydney/511/2006		other_database_import
B/Sydney/507/2006		other_database_import
B/Brisbane/18/2007		other_database_import
B/Brisbane/19/2007		other_database_import
B/Malaysia/1759914/2007		other_database_import
B/Malaysia/1887865/2007		other_database_import
B/Wellington/1/2007		other_database_import
B/Brisbane/31/2007		other_database_import
B/Malaysia/1749284/2007		other_database_import
B/Malaysia/1749254/2007		other_database_import
B/Malaysia/1776305/2007		other_database_import
B/Malaysia/1818439/2007		other_database_import
B/Malaysia/1818085/2007		other_database_import
B/Malaysia/1896500/2007		other_database_import
B/Malaysia/1899839/2007		other_database_import
B/Malaysia/1892514/2007		other_database_import
B/Auckland/136/2008		other_database_import
B/Malaysia/1712152/2007		other_database_import
B/Sydney/500/2007		other_database_import
B/Sydney/502/2007		other_database_import
B/Sydney/5/2007		other_database_import
B/Taiwan/71523/2007		other_database_import
B/Malaysia/1819373/2007		other_database_import
B/Sydney/2/2007		other_database_import
B/Malaysia/1887872/2007		other_database_import
B/Malaysia/1890240/2007		other_database_import
B/California/NHRC0008/2005		other_database_import
B/NewYork/1078/2005		other_database_import
B/SouthCarolina/NHRC0001/2005		other_database_import
B/Brisbane/95/2005		other_database_import
B/Brisbane/100/2005		other_database_import
B/Victoria/518/2004		other_database_import
B/Auckland/32/2005		other_database_import
B/Auckland/99/2005		other_database_import
B/Victoria/2/2005		other_database_import
B/Auckland/8/2005		other_database_import
B/Auckland/107/2005		other_database_import
B/Wellington/23/2005		other_database_import
B/Auckland/3/2005		other_database_import
B/Townsville/17/2005		other_database_import
B/Brisbane/86/2005		other_database_import
B/Victoria/123/2005		other_database_import
B/Christchurch/254/2005		other_database_import
B/Waikato/86/2005		other_database_import
B/Waikato/70/2005		other_database_import
B/Waikato/49/2005		other_database_import
B/Waikato/20/2005		other_database_import
B/Waikato/5/2005		other_database_import
B/Brisbane/17/2005		other_database_import
B/Waikato/177/2005		other_database_import
B/Waikato/164/2005		other_database_import
B/Townsville/3/2005		other_database_import
B/Wellington/43/2005		other_database_import
B/Victoria/526/2005		other_database_import
B/Brisbane/20/2004		other_database_import
B/Brisbane/2/2005		other_database_import
B/Townsville/7/2005		other_database_import
B/Brisbane/21/2004		other_database_import
B/Christchurch/28/2005		other_database_import
B/Victoria/531/2005		other_database_import
B/Victoria/530/2005		other_database_import
B/Christchurch/278/2005		other_database_import
B/Sydney/2/2005		other_database_import
B/Brisbane/3/2005	queensland_health_forensic_and_scientific_services_	other_database_import
B/Brisbane/42/2005		other_database_import
B/Victoria/305/2005		other_database_import
B/Brisbane/40/2005		other_database_import
B/Sydney/1/2007	westmead_hospital	other_database_import
B/Victoria/205/2007		other_database_import
B/Taiwan/3001/2006		other_database_import
B/Brisbane/105/2005		other_database_import
B/Brisbane/93/2005		other_database_import
B/Brisbane/58/2005		other_database_import
B/Brisbane/4/2005		other_database_import
B/Sydney/502/2005		other_database_import
B/Christchurch/243/2005		other_database_import
B/Townsville/19/2005		other_database_import
B/Townsville/15/2005		other_database_import
B/Townsville/11/2005		other_database_import
B/Townsville/16/2005		other_database_import
B/Brisbane/32/2005		other_database_import
B/Townsville/2/2005		other_database_import
B/Waikato/1/2006		other_database_import
B/Illinois/UR06-0516/2007		other_database_import
B/NewYork/1180/2008		other_database_import
B/NewYork/1130/2007		other_database_import
B/NewYork/1131/2007		other_database_import
B/NewYork/1132/2007		other_database_import
B/NewYork/1133/2007		other_database_import
B/Townsville/2/2006		other_database_import
B/Townsville/1/2006		other_database_import
B/Townsville/4/2006		other_database_import
B/Brisbane/6/2006		other_database_import
B/Townsville/3/2006		other_database_import
B/Brisbane/5/2006		other_database_import
B/Brisbane/3/2006		other_database_import
B/Brisbane/4/2006		other_database_import
B/NewYork/1123/2007		other_database_import
B/Mississippi/UR06-0031/2007		other_database_import
B/Christchurch/1002/2007		other_database_import
B/Waikato/1/2008		other_database_import
B/Brisbane/28/2007		other_database_import
B/Christchurch/105/2007		other_database_import
B/Christchurch/63/2007		other_database_import
B/Christchurch/36/2007		other_database_import
B/Christchurch/18/2007		other_database_import
B/Wellington/12/2007		other_database_import
B/Wellington/9/2007		other_database_import
B/Christchurch/98/2007		other_database_import
B/Auckland/14/2007		other_database_import
B/Wellington/11/2007		other_database_import
B/Christchurch/42/2007		other_database_import
B/Christchurch/86/2007		other_database_import
B/Brisbane/16/2007		other_database_import
B/Waikato/100/2007		other_database_import
B/Wellington/3/2007		other_database_import
B/Victoria/219/2007		other_database_import
B/Auckland/11/2007		other_database_import
B/Victoria/523/2008		other_database_import
B/Auckland/159/2008		other_database_import
B/Victoria/525/2008		other_database_import
B/Pennsylvania/PIT66/2008		other_database_import
B/Pennsylvania/PIT63/2008		other_database_import
B/NewYork/1194/2008		other_database_import
B/Taiwan/2563/2008		other_database_import
B/Cheongju/411/2008		other_database_import
B/Cheongju/437/2008		other_database_import
B/Sydney/524/2008	westmead_hospital	other_database_import
B/Victoria/505/2008		other_database_import
B/Victoria/526/2008		other_database_import
B/Brisbane/164/2008		other_database_import
B/Sydney/8/2008	westmead_hospital	other_database_import
B/Sydney/522/2008		other_database_import
B/Brisbane/115/2008		other_database_import
B/Sydney/5/2008	westmead_hospital	other_database_import
B/Sydney/59/2008	westmead_hospital	other_database_import
B/Sydney/110/2008		other_database_import
B/Sydney/51/2008		other_database_import
B/Sydney/55/2008	westmead_hospital	other_database_import
B/Sydney/106/2008		other_database_import
B/Sydney/508/2008		other_database_import
B/Sydney/111/2008		other_database_import
B/Sydney/35/2008		other_database_import
B/Sydney/520/2008		other_database_import
B/Brisbane/80/2008		other_database_import
B/Sydney/540-a/2008		other_database_import
B/Sydney/526/2008		other_database_import
B/Sydney/24/2008		other_database_import
B/Victoria/507/2008		other_database_import
B/Sydney/45/2008		other_database_import
B/Sydney/69/2008		other_database_import
B/Brisbane/29/2007		other_database_import
B/Victoria/510/2007		other_database_import
B/Brisbane/1/2008	queensland_health_scientific_services	other_database_import
B/Brisbane/2/2008		other_database_import
B/Pennsylvania/7/2007-egg		other_database_import
B/Christchurch/2/2008		other_database_import
B/Auckland/1/2007	auckland_hospital	other_database_import
B/Brisbane/24/2007		other_database_import
B/Victoria/228/2007		other_database_import
B/Brisbane/30/2007		other_database_import
B/Brisbane/26/2007		other_database_import
B/Victoria/512/2007	monash_medical_centre	other_database_import
B/Brisbane/22/2008		other_database_import
B/Brisbane/86/2008		other_database_import
B/Brisbane/48/2008		other_database_import
B/Brisbane/34/2008		other_database_import
B/Brisbane/12/2008		other_database_import
B/Wellington/13/2008		other_database_import
B/Auckland/2/2008		other_database_import
B/NewYork/1139/2008		other_database_import
B/Sydney/102/2008		other_database_import
B/Sydney/105/2008		other_database_import
B/Brisbane/27/2007		other_database_import
B/Victoria/511/2007	monash_medical_centre	other_database_import
B/Victoria/514/2007	monash_medical_centre	other_database_import
B/Victoria/508/2007		other_database_import
B/Sydney/13/2008		other_database_import
B/NewYork/1156/2008		other_database_import
B/Victoria/524/2008		other_database_import
B/Auckland/12/2008		other_database_import
B/Auckland/63/2008		other_database_import
B/Florida/4/2006-egg	seasonal_yam	pb1
B/NewYork/1112/2007		other_database_import
B/NewYork/1104/2007		other_database_import
B/NewYork/1159/2008		other_database_import
B/NewYork/1150/2008		other_database_import
B/Sydney/76/2008		other_database_import
B/Brisbane/13/2008		other_database_import
B/NewYork/1116/2007		other_database_import
B/NewYork/1154/2008		other_database_import
B/Managua/470502/2008		other_database_import
B/Managua/457701/2008		other_database_import
B/Managua/484702/2008		other_database_import
B/Managua/294101/2008		other_database_import
B/Managua/478701/2008		other_database_import
B/Managua/470201/2008		other_database_import
B/Sydney/6/2007		other_database_import
B/NewYork/1124/2007		other_database_import
B/Victoria/230/2008		other_database_import
B/Wellington/19/2008		other_database_import
B/NewYork/1160/2008		other_database_import
B/NewYork/1129/2007		other_database_import
B/NewYork/1163/2008		other_database_import
B/NewYork/1191/2008		other_database_import
B/NewYork/1189/2008		other_database_import
B/Pennsylvania/PIT59/2008		other_database_import
B/Brisbane/168/2008		other_database_import
B/Brisbane/17/2008	queensland_health_scientific_services	other_database_import
B/Brisbane/21/2008		other_database_import
B/Brisbane/118/2008		other_database_import
B/Brisbane/31/2008		other_database_import
B/Auckland/4/2007		other_database_import
B/Auckland/3/2007		other_database_import
B/Brisbane/104/2008		other_database_import
B/Sydney/503/2007		other_database_import
B/Sydney/3/2007		other_database_import
B/Guangzhou/1/2007		other_database_import
B/Brisbane/23/2007		other_database_import
B/Brisbane/1/2007	queensland_health_scientific_services	other_database_import
B/Victoria/506/2007	monash_medical_centre	other_database_import
B/Victoria/507/2007		other_database_import
B/Victoria/215/2007		other_database_import
