strain	originating_lab	submitting_lab
B/Galicia/68510795/2024	complejo_hospitalario_pontevedra	complejo_hospitalario_pontevedra
B/Nanchang/2/1997		other_database_import
B/Henan/22/1997		other_database_import
B/Beijing/243/1997		other_database_import
B/Sichuan/53/1996-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Shandong/7/1997	erasmus_medical_center	other_database_import
B/Nanchang/6/1998		other_database_import
B/Chiba/447/1998		other_database_import
B/Sichuan/207/1999-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Osaka/547/1997		other_database_import
B/Shiga/51/1998		other_database_import
B/Aichi/20/1999		other_database_import
B/Taiwan/1484/2001		other_database_import
B/Malaysia/15048/1998		other_database_import
B/HongKong/330/2001-egg	seasonal_vic	mp
B/HongKong/330/2001		other_database_import
B/HongKong/22/2001		other_database_import
B/Akita/27/2001-egg	seasonal_vic	mp
B/HongKong/6/2001-egg	seasonal_vic	mp
B/Hawaii/10/2001-egg	seasonal_vic	mp
B/HongKong/123/2001-egg	seasonal_vic	mp
B/HongKong/28/2001		other_database_import
B/Victoria/506/2002		other_database_import
B/Yamagata/222/2002		other_database_import
B/HongKong/1115/2002-egg	seasonal_vic	mp
B/HongKong/1434/2002-egg	seasonal_vic	mp
B/Trieste/28/2002		other_database_import
B/HongKong/167/2002-egg	seasonal_vic	mp
B/Vietnam/13VB-1/2012		niigata_university
B/Auckland/21/2005		other_database_import
B/Christchurch/71/2005		other_database_import
B/Victoria/307/2005		other_database_import
B/Sydney/19/2005		other_database_import
B/Otago/18/2005		other_database_import
B/NewYork/1127/2007		other_database_import
B/NewYork/1110/2007		other_database_import
B/NewYork/1108/2007		other_database_import
B/California/NHRC0001/2006		other_database_import
B/Mississippi/UR06-0551/2007		other_database_import
B/SouthCarolina/NHRC0001/2006		other_database_import
B/Brisbane/31/2006		other_database_import
B/Texas/UR06-0541/2007		other_database_import
B/NewYork/1122/2007		other_database_import
B/NewYork/1121/2007		other_database_import
B/Michigan/4/2006-egg	seasonal_vic	mp
B/Texas/NHRC0001/2006		other_database_import
B/Brisbane/90/2006		other_database_import
B/Mississippi/UR06-0345/2007		other_database_import
B/Wellington/85/2006		other_database_import
B/Townsville/2/2008	queensland_health_scientific_services	who_collaborating_centre_for_reference_and_research_on_influenza
B/Sydney/21/2008		other_database_import
B/NewYork/1205/2009		other_database_import
B/Bolivia/104/2010-egg	instituto_nacional_de_laboratoriosde_salud_(inlasa)	centers_for_disease_control_and_prevention
B/Bolivia/104/2010	instituto_nacional_de_laboratoriosde_salud_(inlasa)	centers_for_disease_control_and_prevention
B/NewYork/1091/2006		other_database_import
B/Texas/UR06-0343/2007		other_database_import
B/NewYork/1097/2006		other_database_import
B/Brisbane/2/2007	queensland_health_scientific_services	other_database_import
B/HongKong/90/2008-egg	centers_for_disease_control_and_prevention	who_collaborating_centre_for_reference_and_research_on_influenza
B/Brisbane/4/2007		other_database_import
B/Brisbane/163/2008		other_database_import
B/Brisbane/171/2008		other_database_import
B/Sydney/521/2008		other_database_import
B/Sydney/57/2008	westmead_hospital	other_database_import
B/Victoria/511/2008		other_database_import
B/Sydney/89/2008		other_database_import
B/Brisbane/54/2008		other_database_import
B/Townsville/101/2008		other_database_import
B/Brisbane/22/2007		other_database_import
B/Victoria/217/2007		other_database_import
B/Brisbane/13/2007		other_database_import
B/Brisbane/20/2007		other_database_import
B/Sydney/505/2007		other_database_import
B/Brisbane/15/2007		other_database_import
B/Sydney/504/2007		other_database_import
B/Brisbane/11/2007		other_database_import
B/Sydney/300/2007		other_database_import
B/Brisbane/10/2007		other_database_import
B/Victoria/207/2007		other_database_import
B/Victoria/210/2007	victorian_infectious_diseases_reference_laboratory_	other_database_import
B/Victoria/206/2007		other_database_import
B/Brisbane/7/2007		other_database_import
B/Newcastle/12/2005		other_database_import
B/Sydney/7/2002		other_database_import
B/Houston/B75/2002		other_database_import
B/Taiwan/3246/2002-egg		other_database_import
B/Brisbane/32/2002-egg	seasonal_vic	mp
B/Victoria/160/2002		other_database_import
B/Georgia/NHRC0001/2003		other_database_import
B/Brisbane/3/2002		other_database_import
B/Brisbane/72/2002		other_database_import
B/Houston/B77/2002		other_database_import
B/Geneva/5079/2003		other_database_import
B/Victoria/156/2002		other_database_import
B/NewYork/1050/2002		other_database_import
B/Sydney/49/2002		other_database_import
B/Brisbane/47/2002		other_database_import
B/Taiwan/2643/2002-egg		other_database_import
B/Iowa/3/2002-egg	seasonal_vic	mp
B/Brisbane/39/2002		other_database_import
B/Sydney/85/2002		other_database_import
B/Sydney/1/2002		other_database_import
B/Wellington/7/2002		other_database_import
B/Sydney/86/2002		other_database_import
B/Houston/B70/2002		other_database_import
B/Barcelona/215/2003		other_database_import
B/Yamagata/115/2003		other_database_import
B/Townsville/1/2002		other_database_import
B/Tehran/80/2002		other_database_import
B/NewYork/1049/2002		other_database_import
B/Victoria/354/2002		other_database_import
B/Brisbane/34/2002	queensland_health_forensic_and_scientific_services_	other_database_import
B/Townsville/18/2005		other_database_import
B/Brisbane/30/2002-egg		other_database_import
B/Brisbane/24/2002-egg		other_database_import
B/Brisbane/25/2002-egg		other_database_import
B/Brisbane/27/2002-egg		other_database_import
B/Brisbane/8/2002		other_database_import
B/Brisbane/5/2002		other_database_import
B/Brisbane/4/2002		other_database_import
B/Brisbane/2/2002		other_database_import
B/Waikato/20/2002		other_database_import
B/Waikato/27/2002		other_database_import
B/Israel/95/2003		other_database_import
B/Victoria/503/2002		other_database_import
B/Taiwan/937/2003		other_database_import
B/Moscow/3/2003		other_database_import
B/Taiwan/76/2003		other_database_import
B/NewYork/1057/2003		other_database_import
B/Christchurch/133/2002		other_database_import
B/Dunedin/1/2002		other_database_import
B/Waikato/11/2002		other_database_import
B/Wellington/2/2002		other_database_import
B/LosAngeles/1/2002		other_database_import
B/NewYork/1056/2003		other_database_import
B/Waikato/6/2002		other_database_import
B/Houston/B88/2003		other_database_import
B/Hawaii/NHRC0001/2003		other_database_import
B/HongKong/1351/2002-egg	seasonal_vic	mp
B/Brisbane/7/2002		other_database_import
B/NewYork/1053/2002		other_database_import
B/Auckland/1/2003		other_database_import
B/NewYork/1051/2002		other_database_import
B/Sydney/204/2002		other_database_import
B/Victoria/133/2002		other_database_import
B/Houston/B71/2002		other_database_import
B/Victoria/158/2002		other_database_import
B/NewYork/1055/2003		other_database_import
B/Paraguay/636/2003		other_database_import
B/Houston/B74/2002		other_database_import
B/California/NHRC0004/2003		other_database_import
B/California/NHRC0005/2003		other_database_import
B/Missouri/NHRC0001/2003		other_database_import
B/NewYork/1394/2003		other_database_import
B/Houston/B86/2003		other_database_import
B/SouthCarolina/4/2003		other_database_import
B/NewYork/1058/2003		other_database_import
B/Memphis/13/2003		other_database_import
B/Illinois/NHRC0001/2003		other_database_import
B/Temple/B17/2003		other_database_import
B/Temple/B21/2003		other_database_import
B/Temple/B18/2003		other_database_import
B/India/VD1041860/2010		other_database_import
B/Houston/B79/2003		other_database_import
B/NewYork/1059/2003		other_database_import
B/Temple/B19/2003		other_database_import
B/Temple/B20/2003		other_database_import
B/Hawaii/33/2004		other_database_import
B/Hawaii/13/2004-egg	seasonal_vic	mp
B/Taiwan/91061/2005		other_database_import
B/Hawaii/11/2004-egg	seasonal_vic	mp
B/Taiwan/110/2005		other_database_import
B/Taiwan/61/2004		other_database_import
B/Taiwan/74/2004		other_database_import
B/Taiwan/473/2005		other_database_import
B/Taiwan/71207/2004		other_database_import
B/Houston/B87/2003		other_database_import
B/Houston/B84/2003		other_database_import
B/Temple/B30/2003		other_database_import
B/Temple/B24/2003		other_database_import
B/Houston/B81/2003		other_database_import
B/Victoria/525/2005		other_database_import
B/Brisbane/36/2005		other_database_import
B/NewYork/1079/2005		other_database_import
B/NewYork/1073/2005		other_database_import
B/SouthCarolina/NHRC0001/2004		other_database_import
B/NewYork/1084/2005		other_database_import
B/NewYork/1081/2005		other_database_import
B/Illinois/13/2005-egg	seasonal_vic	mp
B/Ohio/1/2005-egg	cincinnati_children's_hospital	centers_for_disease_control_and_prevention
B/NewYork/1083/2005		other_database_import
B/NewYork/1076/2005		other_database_import
B/Illinois/47/2005-egg	seasonal_vic	mp
B/Sydney/12/2005		other_database_import
B/Victoria/518/2005		other_database_import
B/Victoria/114/2005		other_database_import
B/Victoria/310/2005		other_database_import
B/NewYork/1075/2005		other_database_import
B/California/NHRC0003/2006		other_database_import
B/Brisbane/103/2005	queensland_health_forensic_and_scientific_services_	other_database_import
B/Brisbane/97/2005		other_database_import
B/Brisbane/26/2005		other_database_import
B/Brisbane/19/2005		other_database_import
B/California/NHRC0004/2006		other_database_import
B/California/NHRC0005/2006		other_database_import
B/California/NHRC0006/2006		other_database_import
B/HongKong/553a/2003		other_database_import
B/Jeju/303/2003		other_database_import
B/Malaysia/31752/2005		other_database_import
B/Malaysia/30238/2004		other_database_import
B/Malaysia/29570/2004		other_database_import
B/HongKong/310/2004-egg	seasonal_vic	mp
B/HongKong/310/2004		other_database_import
B/Taiwan/117/2005		other_database_import
B/Taiwan/121/2005		other_database_import
B/Malaysia/30474/2004		other_database_import
B/Singapore/616/2008	singapore_general_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
B/Thailand/CU-B2390/2010		other_database_import
B/Vietnam/92/2011	national_institute_of_hygiene_and_epidemiology	centers_for_disease_control_and_prevention
B/Vietnam/107/2011	national_institute_of_hygiene_and_epidemiology	centers_for_disease_control_and_prevention
B/Lao/89/2011	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
B/Cambodia/8/2011	institute_pasteur_du_cambodia	who_collaborating_centre_for_reference_and_research_on_influenza
B/Thailand/CU-B4585/2011		other_database_import
B/Taiwan/103/2005		other_database_import
B/Taiwan/77/2005		other_database_import
B/Taiwan/70878/2005		other_database_import
B/Auckland/4/2005		other_database_import
B/Taiwan/94/2005		other_database_import
B/Taiwan/72266/2004		other_database_import
B/Taiwan/70061/2006		other_database_import
B/Guangxi-Xinning/4/2006	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Taiwan/710/2005		other_database_import
B/Taiwan/70122/2005		other_database_import
B/Taiwan/70299/2005		other_database_import
B/Taiwan/52/2005		other_database_import
B/Taiwan/90680/2005		other_database_import
B/Taiwan/70007/2005		other_database_import
B/Taiwan/166/2005		other_database_import
B/Taiwan/70325/2005		other_database_import
B/Taiwan/70949/2005		other_database_import
B/Taiwan/70149/2005		other_database_import
B/Taiwan/188/2005		other_database_import
B/Taiwan/417/2005-egg		other_database_import
B/Taiwan/70555/2005		other_database_import
B/Malaysia/1781325/2007		other_database_import
B/Malaysia/34094/2006		other_database_import
B/Malaysia/33808/2006		other_database_import
B/Malaysia/33021/2005		other_database_import
B/Malaysia/33922/2006		other_database_import
B/Malaysia/33772/2005		other_database_import
B/Malaysia/31529/2005		other_database_import
B/Malaysia/1723975/2007		other_database_import
B/Malaysia/34079/2006		other_database_import
B/Malaysia/33937/2006		other_database_import
B/Malaysia/1733951/2007		other_database_import
B/Malaysia/33951/2006		other_database_import
B/Malaysia/33271/2005		other_database_import
B/Victoria/521/2005		other_database_import
B/Brisbane/15/2005		other_database_import
B/Christchurch/209/2005		other_database_import
B/Townsville/8/2005		other_database_import
B/Townsville/6/2005		other_database_import
B/Waikato/188/2005		other_database_import
B/Sydney/20/2005		other_database_import
B/Victoria/1308/2005		other_database_import
B/Wellington/3/2005		other_database_import
B/Wellington/69/2005		other_database_import
B/Waikato/16/2005		other_database_import
B/Wellington/94/2005		other_database_import
B/Hunan-Lusong/1459/2006	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Guangxi-Binyang/21/2006	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Taiwan/70690/2006		other_database_import
B/Fujian/Gulou1272/2008-egg		other_database_import
B/Jilin-Chaoyang/1126/2007	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Tianjin-Nankai/1224/2007	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/HongKong/230/2009-egg	government_virus_unit	centers_for_disease_control_and_prevention
B/Beijing-Xicheng/11082/2010	who_chinese_national_influenza_center	who_chinese_national_influenza_center
