strain	submitting_lab	originating_lab
A/Canterbury/58/2000	other_database_import	
A/Nagasaki/97/1995	other_database_import	
A/Tochigi/44/1995	other_database_import	
A/Nagasaki/48/1995	other_database_import	
A/SouthAustralia/1/1995	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_medical_and_veterinary_science_(imvs)
A/Finland/338/1995	other_database_import	
A/HongKong/3/1995	other_database_import	
A/Memphis/24/1995	other_database_import	
A/Malaysia/7145/1995	other_database_import	
A/Malaysia/7832/1995	other_database_import	
A/Fukushima/114/1996	other_database_import	
A/HongKong/20/1996	other_database_import	
A/Niigata/137/1996	other_database_import	
A/Nanchang/933/1995	erasmus_medical_center	erasmus_medical_center
A/Malaysia/7831/1995	other_database_import	
A/Netherlands/178/1995	other_database_import	national_institute_for_public_health_and_the_environment_(rivm)
A/HongKong/49/1995	other_database_import	
A/Finland/339/1995	other_database_import	
A/Shiga/20/1995	other_database_import	
A/Miyagi/29/1995	other_database_import	
A/HongKong/434/1996	other_database_import	
A/Johannesburg/10/1997	other_database_import	
A/Malaysia/11473/1996	other_database_import	
A/Oslo/21/1997	other_database_import	
A/HongKong/1/1997	other_database_import	
A/NewYork/581/1997	other_database_import	
A/NewYork/583/1997	other_database_import	
A/NewYork/566/1997	other_database_import	
A/NewYork/560/1997	other_database_import	
A/NewYork/576/1997	other_database_import	
A/NewYork/600/1996	other_database_import	
A/NewYork/565/1996	other_database_import	
A/NewYork/594/1996	other_database_import	
A/Netherlands/1/1995	other_database_import	
A/NewYork/632/1996	other_database_import	
A/NewYork/625/1996	other_database_import	
A/Netherlands/271/1995	other_database_import	
A/Victoria/75/1995	other_database_import	
A/Finland/381/1995	other_database_import	
A/Brisbane/7/1996	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
A/NewYork/639/1995	other_database_import	
A/NewYork/634/1995	other_database_import	
A/Netherlands/91/1996	other_database_import	
A/NewYork/628/1995	other_database_import	
A/NewYork/623/1995	other_database_import	
A/NewYork/612/1995	other_database_import	
A/NewYork/618/1995	other_database_import	
A/NewYork/613/1996	other_database_import	
A/NewYork/611/1995	other_database_import	
A/NewYork/606/1995	other_database_import	
A/NewYork/619/1996	other_database_import	
A/NewYork/637/1996	other_database_import	
A/NewYork/648/1995	other_database_import	
A/NewYork/647/1995	other_database_import	
A/NewYork/610/1995	other_database_import	
A/NewYork/609/1995	other_database_import	
A/NewYork/622/1996	other_database_import	
A/Malaysia/10997/1996	other_database_import	
A/Malaysia/10360/1996	other_database_import	
A/Malaysia/10370/1996	other_database_import	
A/Lyon/1781/1996	other_database_import	
A/Nice/491/1997	other_database_import	
A/NewYork/584/1996	other_database_import	
A/NewYork/562/1996	other_database_import	
A/NewYork/558/1997	other_database_import	
A/Brisbane/8/1996	erasmus_medical_center	erasmus_medical_center
A/NewYork/617/1996	other_database_import	
A/Singapore/1/1996	other_database_import	
A/Paris/908/1997	other_database_import	
A/Geneva/3958/1996	other_database_import	
A/NewYork/631/1996	other_database_import	
A/Malaysia/10135/1996	other_database_import	
A/Malaysia/10111/1996	other_database_import	
A/Malaysia/10081/1996	other_database_import	
A/Fukushima/140/1996	other_database_import	
A/NewYork/569/1997	other_database_import	
A/Netherlands/5/1998	other_database_import	
A/NewYork/582/1996	other_database_import	
A/SouthAfrica/1147/1996-egg	other_database_import	
A/HongKong/358/1996	other_database_import	
A/Siena/1/1997	other_database_import	
A/Shiga/25/1997	other_database_import	
A/NewYork/573/1996	other_database_import	
A/HongKong/42/1996	other_database_import	
A/NewYork/589/1996	other_database_import	
A/NewYork/586/1996	other_database_import	
A/NewYork/588/1996	other_database_import	
A/NewYork/597/1997	other_database_import	
A/Lyon/2279/1995	other_database_import	
A/HongKong/357/1996	other_database_import	
A/Malaysia/12726/1997	other_database_import	
A/Malaysia/13241/1997	other_database_import	
A/NewYork/570/1996	other_database_import	
A/NewYork/601/1996	other_database_import	
A/Perth/9/1997	who_collaborating_centre_for_reference_and_research_on_influenza	pathwest_qe_ii_medical_centre
A/Perth/201lL/1998	who_collaborating_centre_for_reference_and_research_on_influenza	who_collaborating_centre_for_reference_and_research_on_influenza
A/Perth/201E/1998	who_collaborating_centre_for_reference_and_research_on_influenza	pathwest_qe_ii_medical_centre
A/NewYork/524/1997	other_database_import	
A/NewYork/526/1997	other_database_import	
A/NewYork/513/1997	other_database_import	
A/NewYork/507/1997	other_database_import	
A/NewYork/515/1997	other_database_import	
A/NewYork/503/1997	other_database_import	
A/NewYork/547/1997	other_database_import	
A/NewYork/549/1998	other_database_import	
A/NewYork/516/1997	other_database_import	
A/NewYork/511/1997	other_database_import	
A/NewYork/523/1998	other_database_import	
A/NewYork/535/1998	other_database_import	
A/NewYork/532/1998	other_database_import	
A/NewYork/501/1997	other_database_import	
A/NewYork/540/1998	other_database_import	
A/NewYork/550/1998	other_database_import	
A/NewYork/545/1997	other_database_import	
A/NewYork/529/1998	other_database_import	
A/NewYork/527/1998	other_database_import	
A/NewYork/517/1998	other_database_import	
A/NewYork/539/1998	other_database_import	
A/Nagasaki/76/1998	other_database_import	
A/Auckland/10/1997	other_database_import	
A/Sydney/5/1997-egg	erasmus_medical_center	erasmus_medical_center
A/Netherlands/300/1997	other_database_import	
A/NewYork/521/1998	other_database_import	
A/NewYork/505/1997	other_database_import	
A/NewYork/546/1998	other_database_import	
A/NewYork/506/1998	other_database_import	
A/NewYork/456/1999	other_database_import	
A/Panama/2007/1999	other_database_import	u.s._air_force_school_of_aerospace_medicine
A/Panama/2007/1999-egg	np	seasonal_h3n2
A/NewYork/278/1999	other_database_import	
A/NewSouthWales/16/1999	other_database_import	
A/NewSouthWales/13/1999	other_database_import	
A/NewSouthWales/2/1999	other_database_import	
A/Malaysia/10877/1996	other_database_import	
A/Wellington/26/2000	other_database_import	
A/Canterbury/42/2000	other_database_import	
A/Fujian/140/2000-egg	who_collaborating_centre_for_reference_and_research_on_influenza	centers_for_disease_control_and_prevention
A/Auckland/588/2000	other_database_import	
A/WesternAustralia/1/2000	other_database_import	
A/Brisbane/29/2000	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
A/NewSouthWales/32/2000	other_database_import	
A/SouthAustralia/47/2000	other_database_import	
A/Canterbury/101/2000	other_database_import	
A/Canterbury/92/2000	other_database_import	
A/SouthAustralia/15/2000	other_database_import	
A/Canterbury/68/2000	other_database_import	
A/SouthAustralia/73/2000	other_database_import	
A/Canterbury/90/2000	other_database_import	
A/NewSouthWales/36/2000	other_database_import	
A/Netherlands/126/2001	other_database_import	
A/WestCoast/28/2001	other_database_import	
A/WestCoast/55/2001	other_database_import	
A/Waikato/1/2001	other_database_import	institute_of_environmental_science_and_research_(esr)
A/Canterbury/37/2001	other_database_import	
A/Canterbury/43/2001	other_database_import	
A/NewYork/194/2003	other_database_import	
A/NewYork/301/2001	other_database_import	
A/Netherlands/1/2002	other_database_import	
A/Netherlands/118/2001	erasmus_medical_center	erasmus_medical_center
A/NewYork/82/2001	other_database_import	
A/NewYork/124/2001	other_database_import	
A/NewYork/114/2002	other_database_import	
A/NewYork/85/2001	other_database_import	
A/Waikato/52/2002	other_database_import	
A/Auckland/612/2002	other_database_import	
A/Canterbury/81/2002	other_database_import	
A/Queensland/28/2002	other_database_import	
A/Queensland/26/2002	other_database_import	
A/Canterbury/18/2002	other_database_import	
A/Canterbury/69/2002	other_database_import	
A/NewYork/106/2002	other_database_import	
A/Denmark/5/2002	other_database_import	
A/NewYork/129/2002	other_database_import	
A/NewYork/132/2002	other_database_import	
A/NewYork/107/2002	other_database_import	
A/Wellington/84/2002	other_database_import	
A/Dunedin/14/2002	other_database_import	
A/Netherlands/120/2002	other_database_import	
A/Canterbury/60/2002	other_database_import	
A/Wellington/80/2002	other_database_import	
A/Canterbury/19/2002	other_database_import	
A/Canterbury/2/2002	other_database_import	
A/NewYork/202/2003	other_database_import	
A/Canterbury/14/2002	other_database_import	
A/Canterbury/22/2002	other_database_import	
A/Wellington/71/2002	other_database_import	
A/Genoa/1/2002	other_database_import	
A/Morioka/34/2002	other_database_import	
A/Morioka/52/2002	other_database_import	
A/Hessen/2/2002	other_database_import	
A/MecklenburgVorpommern/7/2002	other_database_import	
A/Denmark/13/2002	other_database_import	
A/NewYork/273/2001	other_database_import	
A/NewYork/87/2002	other_database_import	
A/NewYork/413/2002	other_database_import	
A/NewYork/71/2001	other_database_import	
A/Taiwan/3446/2002	other_database_import	
A/Taiwan/3565/2002	other_database_import	
A/Denmark/8/2002	other_database_import	
A/Netherlands/312/2003	other_database_import	
A/England/547/2003	other_database_import	
A/Scotland/79/2003	other_database_import	
A/England/484/2003	other_database_import	
A/England/419/2003	other_database_import	
A/NewYork/94/2001	other_database_import	
A/NewYork/133/2002	other_database_import	
A/NewYork/403/2002	other_database_import	
A/NewYork/131/2001	other_database_import	
A/NewYork/407/2002	other_database_import	
A/NewYork/97/2002	other_database_import	
A/NewYork/83/2001	other_database_import	
A/NewYork/130/2002	other_database_import	
A/NewYork/109/2002	other_database_import	
A/NewYork/127/2001	other_database_import	
A/NewYork/77/2001	other_database_import	
A/NewYork/134/2002	other_database_import	
A/Chile/6416/2001-egg	who_collaborating_centre_for_reference_and_research_on_influenza	centers_for_disease_control_and_prevention
A/NewYork/93/2002	other_database_import	
A/NewYork/110/2002	other_database_import	
A/NewYork/402/2001	other_database_import	
A/NewYork/80/2001	other_database_import	
A/NewYork/401/2001	other_database_import	
A/Auckland/603/2001	other_database_import	
A/Bayern/16/2002	other_database_import	
A/NewYork/90/2002	other_database_import	
A/Auckland/604/2001	other_database_import	
A/Auckland/607/2001	other_database_import	
A/Auckland/602/2001	other_database_import	
A/WesternAustralia/17/2001	other_database_import	
A/WesternAustralia/16/2001	other_database_import	
A/Missouri/NHRC0001/2002	other_database_import	
A/NewYork/136/2002	other_database_import	
A/Berlin/3/2002	other_database_import	
A/Malaysia/22387/2002	other_database_import	
A/Queensland/19/2001	other_database_import	
A/Queensland/14/2001	other_database_import	
A/Berlin/43/2002	other_database_import	
A/Netherlands/88/2003	other_database_import	
A/Denmark/22/2002	other_database_import	
A/NewYork/128/2002	other_database_import	
A/NewYork/84/2001	other_database_import	
A/Wellington/86/2002	other_database_import	
A/Queensland/22/2002	other_database_import	
A/Waikato/105/2001	other_database_import	
A/WesternAustralia/29/2002	other_database_import	
A/WesternAustralia/28/2002	other_database_import	
A/NewYork/477/2003	other_database_import	
A/NewYork/12/2003	other_database_import	
A/Hessen/16/2004	other_database_import	
A/NewYork/479/2003	other_database_import	
A/NewYork/499/2004	other_database_import	
A/NewYork/480/2004	other_database_import	
A/England/585/2003	other_database_import	
A/Okayama/23/2004	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_of_infectious_diseases_(niid)
A/England/584/2003	other_database_import	
A/Queensland/44/2004	other_database_import	
A/WesternAustralia/58/2004	other_database_import	
A/Canterbury/443/2003	other_database_import	
A/Waikato/150/2003	other_database_import	
A/Waikato/53/2003	other_database_import	
A/Waikato/75/2003	other_database_import	
A/Waikato/3/2003	other_database_import	institute_of_environmental_science_&_research
A/Waikato/94/2003	other_database_import	
A/Canterbury/435/2003	other_database_import	
A/WesternAustralia/49/2003	other_database_import	
A/Wellington/49/2003	other_database_import	
