strain	submitting_lab	originating_lab
B/NewYork/1019/1999	other_database_import	
B/NewYork/1018/1997	other_database_import	
B/Houston/B63/1997	other_database_import	
B/Houston/B61/1997	other_database_import	
B/Houston/B57/1997	other_database_import	
B/Houston/B58/1997	other_database_import	
B/Taiwan/3143/1997	other_database_import	
B/Quebec/465/1998	other_database_import	
B/Houston/B60/1997	other_database_import	
B/Houston/B56/1997	other_database_import	
B/NewYork/1017/1997	other_database_import	
B/Temple/B7/1999	other_database_import	
B/Brazil/975/2000	other_database_import	
B/Houston/B65/1998	other_database_import	
B/Temple/B9/1999	other_database_import	
B/Georgia/2/1998-egg	ns	seasonal_yam
B/Florida/2/1998	other_database_import	
B/Georgia/4/1998-egg	ns	seasonal_yam
B/Taiwan/2195/1999	other_database_import	
B/Saga/S172/1999	other_database_import	
B/Taiwan/1243/1999	other_database_import	
B/Malaysia/11169/1996	other_database_import	
B/Singapore/35/1998	other_database_import	
B/Malaysia/13696/1997	other_database_import	
B/Malaysia/13396/1997	other_database_import	
B/Malaysia/13367/1997	other_database_import	
B/Malaysia/13395/1997	other_database_import	
B/Auckland/1/2000-egg	ns	seasonal_yam
B/Malaysia/13494/1997	other_database_import	
B/Yamagata/K320/2001	other_database_import	
B/Yamagata/K520/2001	other_database_import	
B/Yamagata/K270/2001	other_database_import	
B/Yamagata/K501/2001	other_database_import	
B/Malaysia/11087/1996	other_database_import	
B/Malaysia/10928/1996	other_database_import	
B/Malaysia/10837/1996	other_database_import	
B/Alaska/12/1996	other_database_import	
B/Malaysia/11185/1996	other_database_import	
B/Lusaka/432/1999	other_database_import	
B/Lusaka/270/1999	other_database_import	
B/Singapore/22/1998	other_database_import	
B/Singapore/31/1998	other_database_import	
B/Kochi/193/1999-egg	ns	seasonal_yam
B/Kochi/193/1999	other_database_import	
B/Aichi/4/1997	other_database_import	
B/Argentina/218/1997	other_database_import	
B/Malaysia/11721/1997	other_database_import	
B/Houston/B59/1997	other_database_import	
B/Memphis/12/1997	other_database_import	
B/Quebec/173/1998	other_database_import	
B/Temple/B3/1999	other_database_import	
B/Quebec/514/1998	other_database_import	
B/Quebec/162/1998	other_database_import	
B/Houston/B15/1999	other_database_import	
B/Temple/B10/1999	other_database_import	
B/Temple/B8/1999	other_database_import	
B/Yamanashi/166/1998	other_database_import	erasmus_medical_center
B/Nagano/2038/1998	other_database_import	
B/Yamanashi/166/1998-egg	ns	seasonal_yam
B/Argentina/3640/1999-egg	ns	seasonal_yam
B/NewYork/1021/1999	other_database_import	
B/NewYork/1020/1999	other_database_import	
B/Taiwan/31511/2000	other_database_import	
B/Sichuan/379/1999	other_database_import	erasmus_medical_center
B/Taiwan/1709/2002	other_database_import	
B/Taiwan/979/2002	other_database_import	
B/Sydney/201/2002	other_database_import	
B/Quebec/517/1998	other_database_import	
B/Quebec/511/1998	other_database_import	
B/Quebec/453/1998	other_database_import	
B/Johannesburg/5/1999-egg	ns	seasonal_yam
B/Quebec/452/1998	other_database_import	
B/Malaysia/10941/1996	other_database_import	
B/Paris/549/1999-egg	ns	seasonal_yam
B/NewYork/347/1999	other_database_import	
B/Bucharest/311/1998-egg	ns	seasonal_yam
B/Romania/318/1998-egg	ns	seasonal_yam
B/Vienna/1/1999	other_database_import	
B/Romania/217/1999-egg	ns	seasonal_yam
B/NewYork/1040/2001	other_database_import	
B/NewYork/1036/2001	other_database_import	
B/NewYork/1034/2001	other_database_import	
B/NewYork/1032/2001	other_database_import	
B/NewYork/1028/2001	other_database_import	
B/NewYork/1044/2001	other_database_import	
B/NewYork/1029/2001	other_database_import	
B/NewYork/1022/2000	other_database_import	
B/NewYork/1024/2001	other_database_import	
B/Taiwan/41010/2000	other_database_import	
B/Taiwan/4184/2000	other_database_import	
B/NewYork/1026/2001	other_database_import	
B/Mexico/84/2000-egg	ns	seasonal_yam
B/Texas/6/2000	other_database_import	
B/Houston/B66/2000	other_database_import	
B/Maryland/1/2001	other_database_import	
B/Houston/B68/2000	other_database_import	
B/Houston/B69/2002	other_database_import	
B/Alaska/16/2000-egg	ns	seasonal_yam
B/Chile/3162/2002-egg	ns	seasonal_yam
B/Quebec/74199/1999	other_database_import	
B/Quebec/74204/1999	other_database_import	
B/Quebec/74206/1999	other_database_import	
B/Taiwan/3852/2000	other_database_import	
B/Taiwan/1742/2000	other_database_import	
B/Taiwan/2091/2000	other_database_import	
B/Argentina/132/2001	other_database_import	
B/UlanUde/4/2002	other_database_import	
B/UlanUde/6/2003-egg	ns	seasonal_yam
B/Moscow/16/2002-egg	ns	seasonal_yam
B/Victoria/108/2002	other_database_import	
B/HongKong/293/2002	other_database_import	
B/Johannesburg/69/2001-egg	ns	seasonal_yam
B/Victoria/341/2002	other_database_import	royal_chidrens_hospital
B/Victoria/142/2002	other_database_import	
B/Victoria/353/2002	other_database_import	
B/Taiwan/45/2001	other_database_import	
B/Taiwan/1293/2000	other_database_import	
B/Taiwan/1265/2000	other_database_import	
B/Taiwan/202/2001	other_database_import	
B/Taiwan/481/2001	other_database_import	
B/Taiwan/11515/2001	other_database_import	
B/Taiwan/2112/2001	other_database_import	
B/Taiwan/634/2001	other_database_import	
B/Taiwan/13/2001	other_database_import	
B/Taiwan/102/2005	other_database_import	
B/Taiwan/71718/2004	other_database_import	
B/Taiwan/71891/2004	other_database_import	
B/Taiwan/629/2005	other_database_import	
B/Taiwan/249/2005	other_database_import	
B/Taiwan/539/2005-egg	other_database_import	
B/Taiwan/70539/2005	other_database_import	
B/Bucharest/795/2003	other_database_import	
B/Taiwan/43/2005	other_database_import	
B/Taiwan/125/2004-egg	other_database_import	
B/Taiwan/70125/2004	other_database_import	
B/Jilin/20/2003	other_database_import	national_institute_for_biological_standards_and_control_(nibsc)
B/Victoria/515/2004	other_database_import	
B/NewYork/1062/2004	other_database_import	
B/Taiwan/282/2005	other_database_import	
B/Taiwan/3236/2004	other_database_import	
B/Taiwan/72068/2004	other_database_import	
B/Taiwan/2143/2004	other_database_import	
B/Brisbane/4/2004	other_database_import	
B/Taiwan/165/2005	other_database_import	
B/Taiwan/70146/2005	other_database_import	
B/Taiwan/2846/2004	other_database_import	
B/Taiwan/3395/2004-egg	other_database_import	
B/Taiwan/3395/2004	other_database_import	
B/Taiwan/783/2005	other_database_import	
B/Taiwan/70131/2005	other_database_import	
B/Taiwan/500/2005-egg	other_database_import	
B/Taiwan/500/2005	other_database_import	
B/Yamagata/1246/2003	other_database_import	
B/Bangkok/460/2003	other_database_import	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
B/Chanthaburi/218/2003	other_database_import	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
B/Christchurch/346/2004	other_database_import	
B/Victoria/508/2004	other_database_import	
B/Christchurch/241/2004	other_database_import	
B/Christchurch/242/2004	other_database_import	
B/Christchurch/407/2004	other_database_import	
B/Christchurch/95/2004	other_database_import	
B/Otago/2/2004	other_database_import	
B/Otago/4/2004	other_database_import	
B/Christchurch/22/2004	other_database_import	
B/Waikato/2/2004	other_database_import	
B/Otago/3/2004	other_database_import	
B/NewYork/1061/2004	other_database_import	
B/Brisbane/15/2004	other_database_import	
B/Sydney/4/2004	other_database_import	
B/Taiwan/1026/2005	other_database_import	
B/Christchurch/289/2004	other_database_import	
B/Christchurch/402/2004	other_database_import	
B/Wellington/1/2004	other_database_import	
B/Taiwan/2026/1999	other_database_import	
B/Taiwan/2027/1999	other_database_import	
B/Sydney/3/2002	other_database_import	
B/Sydney/200/2002	other_database_import	
B/Quebec/51/1998	other_database_import	
B/Shizuoka/480/2000-egg	ns	seasonal_yam
B/Victoria/504/2000		
B/Victoria/504/2000-egg	ns	seasonal_yam
B/Shiga/T30/1998	other_database_import	
B/NewYork/1031/2001	other_database_import	
B/NewYork/1046/2001	other_database_import	
B/HongKong/692/2001	other_database_import	
B/Taiwan/1103/2001	other_database_import	
B/Malaysia/24157/2003	other_database_import	
B/Malaysia/24666/2004	other_database_import	
B/Malaysia/24651/2003	other_database_import	
B/Malaysia/24296/2003	other_database_import	
B/Taiwan/98/2005	other_database_import	
B/StPetersburg/14/2006-egg	ns	seasonal_yam
B/England/243/2011	crick_worldwide_influenza_centre	health_protection_agency
B/India/C117504/2010	other_database_import	
B/Texas/5/2013	centers_for_disease_control_and_prevention	texas_department_of_state_health_services_laboratory_services
B/Srilanka/7/2013	who_collaborating_centre_for_reference_and_research_on_influenza	
B/Macau/610357/2014	who_collaborating_centre_for_reference_and_research_on_influenza	laboratorio_de_saude_publico
B/Retalhuleu/50FLU/2023	laboratorio_nacional_de_salud,_guatemala	laboratorio_nacional_de_salud,_guatemala
B/Chinautla/12FLU/2023	laboratorio_nacional_de_salud,_guatemala	laboratorio_nacional_de_salud,_guatemala
B/Yamagata/K519/2001	other_database_import	
B/Yamagata/K521/2001	other_database_import	
B/NewYork/1048/2002	other_database_import	
B/Trento/3/2002	other_database_import	
B/NewYork/1027/2001	other_database_import	
B/Nebraska/2/2001	other_database_import	
B/NewYork/1030/2001	other_database_import	
B/NewYork/1041/2001	other_database_import	
B/SouthCarolina/NHRC0001/2001	other_database_import	
B/Quebec/4/2001	other_database_import	
