strain	originating_lab	submitting_lab
A/California/8/2009-egg	naval_health_research_center	centers_for_disease_control_and_prevention
A/California/7-JRO09/2009-egg	seasonal_h1n1pdm	pa
A/California/8/2009	naval_health_research_center	centers_for_disease_control_and_prevention
A/California/7-JRO10/2009-egg	seasonal_h1n1pdm	pa
A/California/7/2009	naval_health_research_center	centers_for_disease_control_and_prevention
A/California/7-JRO08/2009-egg	seasonal_h1n1pdm	pa
A/California/7/2009-egg	naval_health_research_center	centers_for_disease_control_and_prevention
A/England/414/2010		other_database_import
A/Nepal/VIROAF5CS/2012		other_database_import
A/Mexico/631812/2013		other_database_import
A/Bangalore/NIV236/2009		other_database_import
A/Beijing/SWL6/2009-egg		who_chinese_national_influenza_center
A/Brussels/INS209/2009		other_database_import
A/Thailand/PY08090/2010		other_database_import
A/Bogota/WRAIR0435N/2009		other_database_import
A/Hyderabad/NIV51/2009		other_database_import
A/Uganda/MUWRP-224/2010		other_database_import
A/Beijing/1/2009	who_chinese_national_influenza_center	other_database_import
A/Perth/29/2009	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/SouthCarolina/10/2010-egg		other_database_import
A/Heilongjiang/SWL1/2009-egg		who_chinese_national_influenza_center
A/Australia/69/2009		other_database_import
A/Saitama/63/2009		national_institute_of_infectious_diseases_(niid)
A/SantoDomingo/WR1072T/2009		other_database_import
A/Shanghai/143T/2009		other_database_import
A/Gunma/287/2009		other_database_import
A/Athens/INS126/2009		other_database_import
A/Athens/INS323/2009		other_database_import
A/Scotland/StAndrews_09V500252/2009		other_database_import
A/Jilin-Nanguan/SWL181/2010		who_chinese_national_influenza_center
A/TianjinTanggu/SWL432/2009		other_database_import
A/Liaoning/1/2009		other_database_import
A/Fujian-Yanping/SWL1115/2010		who_chinese_national_influenza_center
A/Chile/31/2009		other_database_import
A/Jilin/SWL1/2009		who_chinese_national_influenza_center
A/Nepal/426/2009	thailand_moph_u.s._cdc_collaboration_(ieip)	centers_for_disease_control_and_prevention
A/Japan/4081/2009	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Sydney/DD3-08/2010		other_database_import
A/Finland/725/2010		other_database_import
A/Bangkok/SIMI508/2010		other_database_import
A/Argentina/HNRG15/2009-egg		other_database_import
A/Argentina/HNRG82/2009-egg		other_database_import
A/Argentina/HNRG23/2009-egg		other_database_import
A/Southaustralia/162/2012	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Osaka/488/2009	osaka_prefectural_institute_of_public_health	university_of_tokyo
A/Scotland/Edinburgh_17343/2009		other_database_import
A/Chile/4257/2009		other_database_import
A/SantoDomingo/WR1057N/2009		other_database_import
A/SantoDomingo/572N/2009		other_database_import
A/Kentucky/5/2010-egg		centers_for_disease_control_and_prevention
A/SantoDomingo/565T/2009		other_database_import
A/SantoDomingo/WRAIR1044N/2009		other_database_import
A/SantoDomingo/WRAIR1404T/2009		other_database_import
A/Dakar/WRAIR0019T/2010		other_database_import
A/Dakar/WRAIR0018N/2010		other_database_import
A/Dakar/WRAIR0018T/2010		other_database_import
A/Dakar/WRAIR0020T/2010		other_database_import
A/Taiwan/1164/2010		other_database_import
A/Moscow/WRAIR4316N/2011		other_database_import
A/Moscow/WRAIR4316T/2011		other_database_import
A/Mali/A_Mali-PERCH_011_2012/2012	virus_epidemiology_research_group,_kenya_medical_research_institute	
A/Mali/A_Mali-PERCH_009_2012/2012	virus_epidemiology_research_group,_kenya_medical_research_institute	
A/Mexico/24061/2009		other_database_import
A/England/197/2009	microbiology_services_colindale,_public_health_england	health_protection_agency_(hpa)
A/England/360/2009		other_database_import
A/England/433/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Mexico/LaGloria-3/2009-egg		other_database_import
A/Mexico/LaGloria-8/2009-egg		other_database_import
A/Mexico/LaGloria-4/2009-egg		other_database_import
A/Kuwait/4536/2009	u.s._naval_medical_research_unit_no.3	centers_for_disease_control_and_prevention
A/Craven/WR0093/2009		other_database_import
A/Kisumu/61/2009	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Kisumu/56/2009	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenyatta_university
A/Mexico/47N/2009		other_database_import
A/Mexico/4108/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Jiangsu/1/2009		other_database_import
A/England/XFL00311/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Mexico/24027/2009		other_database_import
A/NewMexico/4/2009		centers_for_disease_control_and_prevention
A/Washington/14/2009	washington_state_public_health_laboratory	centers_for_disease_control_and_prevention
A/Mexico/4108/2009	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Toronto/3141/2009		other_database_import
A/Hamburg/5/2009		other_database_import
A/Houston/7OS/2009		other_database_import
A/Guangdong/1/2009-egg		who_chinese_national_influenza_center
A/Guangdong/1/2009		other_database_import
A/Qingdao/1364/2009		other_database_import
A/Chita/CRIE-8/2009		other_database_import
A/Russia/100/2009-egg		other_database_import
A/Mongolia/JP5621/2009		national_institute_of_infectious_diseases_(niid)
A/Qingdao/FF894/2010		other_database_import
A/Qingdao/F970/2010		other_database_import
A/Saitama-C/88/2009		national_institute_of_infectious_diseases_(niid)
A/Hubei-Hongshan/SWL143/2010-egg		who_chinese_national_influenza_center
A/Guangdong-Duanzhou/SWL1198/2010		who_chinese_national_influenza_center
A/Hubei-Songzi/SWL161/2010		who_chinese_national_influenza_center
A/Guangzhou/GIRD74/2010		other_database_import
A/TianjinJinnan/SWL41/2011		other_database_import
A/Chongqing-Wanzhou/SWL53/2011	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Jiangsu-Qinhuai/SWL167/2010		who_chinese_national_influenza_center
A/Zhejiang/89w/2009		other_database_import
A/Singapore/GP368/2010		other_database_import
A/Guangdong-Jiangcheng/SWL181/2010		who_chinese_national_influenza_center
A/Hubei/76/2009		other_database_import
A/Shanghai-Pudongxin/SWL1335/2010		who_chinese_national_influenza_center
A/Nanjing/2/2010		other_database_import
A/Jiangsu/S62/2009		other_database_import
A/Hubei-Songzi/SWL189/2010		who_chinese_national_influenza_center
A/Hubei-Songzi/SWL1166/2010		who_chinese_national_influenza_center
A/Uganda/MUWRP-212/2010		other_database_import
A/Uganda/MUWRP-222/2010		other_database_import
A/Uganda/MUWRP-220/2010		other_database_import
A/Olgii/9911/2009		other_database_import
A/Hubei-Wuchang/SWL145/2010		who_chinese_national_influenza_center
A/Qingdao/F966/2010		other_database_import
A/Hubei-Wuchang/SWL174/2010		who_chinese_national_influenza_center
A/Hubei-Wuchang/SWL171/2010		who_chinese_national_influenza_center
A/Kaliningrad/1/2009-egg	russian_academy_of_medical_sciences	centers_for_disease_control_and_prevention
A/Russia/61/2009-egg		other_database_import
A/Amman/WR0060N/2009		other_database_import
A/DistrictofColumbia/INS525/2010		other_database_import
A/NewYork/7420/2010		other_database_import
A/Singapore/ON2269/2009		other_database_import
A/HongKong/H090-681-V22/2009		other_database_import
A/Chile/1586/2009		other_database_import
A/Lima/WRAIR8511F/2009		other_database_import
A/Jalna/NIV9436/2009		other_database_import
A/Athens/INS391/2010		other_database_import
A/Akita/1/2009		other_database_import
A/Iwate/1/2009		other_database_import
A/Yokohama/1/2009		other_database_import
A/Chiba/1016/2009		national_institute_of_infectious_diseases_(niid)
A/Ankara/WRAIR1440T/2009		other_database_import
A/Wurzburg/INS381/2009		other_database_import
A/Mombasa/512/2009	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Kitale/532/2009	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Nyeri/478/2009	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Mexico/4603/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Mexico/4603/2009	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Russia/200/2009-egg		other_database_import
A/Brisbane/1/2010	queensland_health_scientific_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Singapore/GP3912/2009		other_database_import
A/Ohio/7/2009-egg	ohio_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/England/266/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/England/XFL00303/2009		other_database_import
A/England/195/2009-egg	microbiology_services_colindale,_public_health_england	centers_for_disease_control_and_prevention
