strain	originating_lab	submitting_lab
B/California/1/1995-egg	seasonal_yam	mp
B/Russia/22/1995-egg	seasonal_yam	mp
B/Jinfang/53/1996-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Shenfang/102/1996-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Singapore/22/1998		other_database_import
B/Kochi/193/1999-egg	seasonal_yam	mp
B/Kochi/193/1999		other_database_import
B/Singapore/31/1998		other_database_import
B/Malaysia/11185/1996		other_database_import
B/Malaysia/11087/1996		other_database_import
B/Alaska/12/1996		other_database_import
B/Malaysia/10837/1996		other_database_import
B/Malaysia/10928/1996		other_database_import
B/Lusaka/432/1999		other_database_import
B/Lusaka/270/1999		other_database_import
B/Memphis/20/1996	centers_for_disease_control_and_prevention	centers_for_disease_control_and_prevention
B/Indiana/1/1995		other_database_import
B/Malaysia/11721/1997		other_database_import
B/Argentina/218/1997		other_database_import
B/Houston/B60/1997		other_database_import
B/Houston/B61/1997		other_database_import
B/Temple/B3/1999		other_database_import
B/Houston/B63/1997		other_database_import
B/Houston/B57/1997		other_database_import
B/Brazil/975/2000		other_database_import
B/Houston/B58/1997		other_database_import
B/Memphis/12/1997		other_database_import
B/Houston/B59/1997		other_database_import
B/NewYork/1017/1997		other_database_import
B/NewYork/1018/1997		other_database_import
B/Temple/B9/1999		other_database_import
B/Houston/B65/1998		other_database_import
B/Florida/2/1998		other_database_import
B/Georgia/2/1998-egg	seasonal_yam	mp
B/Georgia/4/1998-egg	seasonal_yam	mp
B/Temple/B7/1999		other_database_import
B/NewYork/1019/1999		other_database_import
B/Temple/B8/1999		other_database_import
B/Temple/B10/1999		other_database_import
B/Houston/B15/1999		other_database_import
B/Houston/B56/1997		other_database_import
B/Yamanashi/166/1998-egg	seasonal_yam	mp
B/Yamanashi/166/1998	erasmus_medical_center	other_database_import
B/Nagano/2038/1998		other_database_import
B/Singapore/35/1998		other_database_import
B/Saga/S172/1999		other_database_import
B/Auckland/1/2000-egg	seasonal_yam	mp
B/Yamagata/K501/2001		other_database_import
B/Yamagata/K270/2001		other_database_import
B/Yamagata/K520/2001		other_database_import
B/Yamagata/K320/2001		other_database_import
B/Malaysia/6535/1995		other_database_import
B/NewYork/1016/1996		other_database_import
B/NewYork/1014/1996		other_database_import
B/NewYork/1015/1996		other_database_import
B/StPetersburg/14/2006-egg	seasonal_yam	mp
B/Sydney/200/2002		other_database_import
B/Sydney/3/2002		other_database_import
B/Shiga/T30/1998		other_database_import
B/NewYork/1046/2001		other_database_import
B/Bangkok/288/2001	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	who_collaborating_centre_for_reference_and_research_on_influenza
B/NewYork/1031/2001		other_database_import
B/Perth/211/2001	princess_margaret_hospital_for_children	who_collaborating_centre_for_reference_and_research_on_influenza
B/HongKong/692/2001		other_database_import
B/Malaysia/24666/2004		other_database_import
B/Malaysia/24651/2003		other_database_import
B/Malaysia/24157/2003		other_database_import
B/Malaysia/24296/2003		other_database_import
B/Houston/B67/2000		other_database_import
B/NewYork/1025/2001		other_database_import
B/NewYork/1039/2001		other_database_import
B/NewYork/1035/2001		other_database_import
B/NewYork/1038/2001		other_database_import
B/SouthCarolina/NHRC0001/2000		other_database_import
B/SouthCarolina/NHRC0002/2000		other_database_import
B/Temple/B1190/2001		other_database_import
B/NewYork/1037/2001		other_database_import
