strain	submitting_lab	originating_lab
B/Newcastle/12/2005	other_database_import	
B/Victoria/307/2005	other_database_import	
B/Otago/18/2005	other_database_import	
B/Otago/13/2005	other_database_import	
B/HongKong/1434/2002-egg	pb1	seasonal_vic
B/HongKong/1115/2002-egg	pb1	seasonal_vic
B/HongKong/167/2002-egg	pb1	seasonal_vic
B/HongKong/22/2001	other_database_import	
B/Akita/27/2001-egg	pb1	seasonal_vic
B/Hawaii/10/2001-egg	pb1	seasonal_vic
B/Trieste/28/2002	other_database_import	
B/HongKong/330/2001-egg	pb1	seasonal_vic
B/HongKong/330/2001	other_database_import	
B/HongKong/123/2001-egg	pb1	seasonal_vic
B/HongKong/28/2001	other_database_import	
B/HongKong/6/2001-egg	pb1	seasonal_vic
B/Henan/22/1997	other_database_import	
B/Nanchang/2/1997	other_database_import	
B/Nanchang/6/1998	other_database_import	
B/Chiba/447/1998	other_database_import	
B/Beijing/243/1997	other_database_import	
B/Osaka/547/1997	other_database_import	
B/Shandong/7/1997	other_database_import	erasmus_medical_center
B/Shiga/51/1998	other_database_import	
B/Malaysia/15048/1998	other_database_import	
B/Taiwan/1484/2001	other_database_import	
B/Victoria/151/2002	other_database_import	
B/Brisbane/32/2002-egg	pb1	seasonal_vic
B/Christchurch/90/2002	other_database_import	
B/Wellington/8/2002	other_database_import	
B/Sydney/64/2002	other_database_import	
B/Sydney/24/2002	other_database_import	
B/Sydney/45/2002	other_database_import	
B/Victoria/347/2002	other_database_import	
B/Moscow/3/2003	other_database_import	
B/Barcelona/215/2003	other_database_import	
B/Townsville/1/2002	other_database_import	
B/Victoria/156/2002	other_database_import	
B/Sydney/5/2002	other_database_import	
B/Victoria/158/2002	other_database_import	
B/Victoria/351/2002	other_database_import	
B/Brisbane/47/2002	other_database_import	
B/India/VD1041860/2010	other_database_import	
B/Stockholm/14/2011	crick_worldwide_influenza_centre	swedish_institute_for_infectious_disease_control
B/Victoria/842/2011	other_database_import	
B/Sydney/33/2011	other_database_import	
B/Iowa/3/2002-egg	pb1	seasonal_vic
B/Christchurch/118/2002	other_database_import	
B/Sydney/12/2002	other_database_import	
B/Victoria/162/2002	other_database_import	
B/Houston/B75/2002	other_database_import	
B/Taiwan/2643/2002-egg	other_database_import	
B/Taiwan/3246/2002-egg	other_database_import	
B/Israel/95/2003	other_database_import	
B/Waikato/27/2002	other_database_import	
B/Tehran/80/2002	other_database_import	
B/Waikato/11/2002	other_database_import	
B/Christchurch/84/2002	other_database_import	
B/Christchurch/133/2002	other_database_import	
B/Auckland/35/2002	other_database_import	
B/Wellington/2/2002	other_database_import	
B/Dunedin/1/2002	other_database_import	
B/Victoria/119/2002	other_database_import	
B/Sydney/7/2002	other_database_import	
B/NewYork/1051/2002	other_database_import	
B/LosAngeles/1/2002	other_database_import	
B/Houston/B70/2002	other_database_import	
B/NewYork/1049/2002	other_database_import	
B/Sydney/202/2002	other_database_import	
B/Sydney/72/2002	other_database_import	
B/Sydney/11/2002	other_database_import	
B/Sydney/82/2002	other_database_import	
B/Auckland/36/2002	other_database_import	
B/Brisbane/74/2002	other_database_import	
B/Brisbane/21/2002	other_database_import	
B/Brisbane/30/2002-egg	other_database_import	
B/Brisbane/24/2002-egg	other_database_import	
B/Brisbane/8/2002	other_database_import	
B/Brisbane/25/2002-egg	other_database_import	
B/Brisbane/27/2002-egg	other_database_import	
B/NewYork/1050/2002	other_database_import	
B/HongKong/1351/2002-egg	pb1	seasonal_vic
B/Geneva/5079/2003	other_database_import	
B/Houston/B71/2002	other_database_import	
B/Houston/B77/2002	other_database_import	
B/Hawaii/NHRC0001/2003	other_database_import	
B/Victoria/412/2002	other_database_import	
B/Jeju/303/2003	other_database_import	
B/HongKong/553a/2003	other_database_import	
B/Thailand/CU-B2390/2010	other_database_import	
B/Singapore/616/2008	who_collaborating_centre_for_reference_and_research_on_influenza	singapore_general_hospital
B/Thailand/CU-B4585/2011	other_database_import	
B/Lao/89/2011	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
B/Vietnam/92/2011	centers_for_disease_control_and_prevention	national_institute_of_hygiene_and_epidemiology
B/Vietnam/107/2011	centers_for_disease_control_and_prevention	national_institute_of_hygiene_and_epidemiology
B/Nepal/1331/2005-egg	pb1	seasonal_vic
B/Nepal/1331/2005	other_database_import	
B/Taiwan/94/2005	other_database_import	
B/Taiwan/70061/2006	other_database_import	
B/Taiwan/417/2005-egg	other_database_import	
B/Auckland/4/2005	other_database_import	
B/Brisbane/60/2005	other_database_import	
B/Malaysia/31529/2005	other_database_import	
B/Malaysia/33772/2005	other_database_import	
B/Taiwan/70690/2006	other_database_import	
B/Sydney/3/2009	other_database_import	clinical_virology_unit,_cdim
