strain	submitting_lab	originating_lab
A/HongKong/434/1996	other_database_import	
A/HongKong/42/1996	other_database_import	
A/Netherlands/1/1995	other_database_import	
A/SouthAustralia/1/1995	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_medical_and_veterinary_science_(imvs)
A/Nagasaki/48/1995	other_database_import	
A/Nagasaki/97/1995	other_database_import	
A/HongKong/3/1995	other_database_import	
A/Finland/338/1995	other_database_import	
A/NewYork/625/1996	other_database_import	
A/Memphis/24/1995	other_database_import	
A/Malaysia/7832/1995	other_database_import	
A/Malaysia/7145/1995	other_database_import	
A/HongKong/49/1995	other_database_import	
A/Netherlands/178/1995	other_database_import	national_institute_for_public_health_and_the_environment_(rivm)
A/Vienna/47/1996	other_database_import	
A/Netherlands/271/1995	other_database_import	
A/Finland/381/1995	other_database_import	
A/Finland/339/1995	other_database_import	
A/Lyon/2279/1995	other_database_import	
A/NewYork/606/1995	other_database_import	
A/NewYork/619/1996	other_database_import	
A/NewYork/637/1996	other_database_import	
A/NewYork/647/1995	other_database_import	
A/NewYork/648/1995	other_database_import	
A/NewYork/622/1996	other_database_import	
A/NewYork/609/1995	other_database_import	
A/NewYork/610/1995	other_database_import	
A/Victoria/75/1995	other_database_import	
A/NewYork/639/1995	other_database_import	
A/NewYork/634/1995	other_database_import	
A/Netherlands/91/1996	other_database_import	
A/NewYork/636/1996	other_database_import	
A/NewYork/635/1996	other_database_import	
A/NewYork/641/1996	other_database_import	
A/NewYork/628/1995	other_database_import	
A/NewYork/611/1995	other_database_import	
A/NewYork/613/1996	other_database_import	
A/NewYork/612/1995	other_database_import	
A/NewYork/623/1995	other_database_import	
A/NewYork/618/1995	other_database_import	
A/NewYork/624/1996	other_database_import	
A/Singapore/1/1996	other_database_import	
A/Geneva/3958/1996	other_database_import	
A/Malaysia/7831/1995	other_database_import	
A/Brisbane/7/1996	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
A/NewYork/652/1996	other_database_import	
A/Nanchang/933/1995-egg	erasmus_medical_center	erasmus_medical_center
A/Nanchang/933/1995	erasmus_medical_center	erasmus_medical_center
A/Wuhan/359/1995-egg	ha	seasonal_h3n2
A/Wuhan/359/1995	other_database_import	
A/Bangkok/1/1997-egg	who_collaborating_centre_for_reference_and_research_on_influenza	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Bangkok/1/1997	other_database_import	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
A/Auckland/19/1996-egg	ha	seasonal_h3n2
A/Auckland/19/1996	other_database_import	
A/Auckland/5/1996-egg	ha	seasonal_h3n2
A/Auckland/5/1996	other_database_import	auckland_healthcare
A/Brisbane/22/1996	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
A/SaudiArabia/24/1996	national_institute_for_medical_research	ministry_of_health_riyadh
A/Brisbane/8/1996	erasmus_medical_center	erasmus_medical_center
A/Christchurch/1/1996	who_collaborating_centre_for_reference_and_research_on_influenza	canterbury_health_services
A/Wellington/48/1996	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_environmental_science_and_research_(esr)
A/NewYork/558/1997	other_database_import	
A/NewYork/562/1996	other_database_import	
A/NewYork/593/1996	other_database_import	
A/NewYork/584/1996	other_database_import	
A/NewYork/585/1997	other_database_import	
A/Canberra/1/1996-egg	ha	seasonal_h3n2
A/NewYork/617/1996	other_database_import	
A/NewYork/631/1996	other_database_import	
A/HongKong/55/1995	other_database_import	
A/Malaysia/10370/1996	other_database_import	
A/Malaysia/10135/1996	other_database_import	
A/Malaysia/10111/1996	other_database_import	
A/Malaysia/10081/1996	other_database_import	
A/Nice/491/1997	other_database_import	
A/Lyon/1781/1996	other_database_import	
A/NewYork/590/1996	other_database_import	
A/Johannesburg/10/1997	other_database_import	
A/Malaysia/11473/1996	other_database_import	
A/NewYork/587/1996	other_database_import	
A/NewYork/581/1997	other_database_import	
A/NewYork/579/1997	other_database_import	
A/HongKong/CUHK4147/1997	other_database_import	
A/Netherlands/5/1998	other_database_import	
A/Paris/896/1997	other_database_import	
A/Paris/906/1997	other_database_import	
A/NewYork/576/1997	other_database_import	
A/NewYork/564/1997	other_database_import	
A/NewYork/594/1996	other_database_import	
A/NewYork/560/1997	other_database_import	
A/NewYork/599/1996	other_database_import	
A/NewYork/583/1997	other_database_import	
A/NewYork/566/1997	other_database_import	
A/NewYork/600/1996	other_database_import	
A/NewYork/575/1996	other_database_import	
A/NewYork/574/1996	other_database_import	
A/Oklahoma/5098/1996	other_database_import	
A/HongKong/1/1997	other_database_import	
A/NewYork/592/1996	other_database_import	
A/Oslo/21/1997	other_database_import	
A/NewYork/537/1998	other_database_import	
A/HongKong/CUHK20217/1997	other_database_import	
A/Tasmania/1/1997	other_database_import	royal_hobart_hospital
A/Victoria/47/1997	who_collaborating_centre_for_reference_and_research_on_influenza	who_collaborating_centre_for_reference_and_research_on_influenza
A/HongKong/CUHK4391/1997	other_database_import	
A/HongKong/CUHK20731/1997	other_database_import	
A/HongKong/CUHK12626/1997	other_database_import	
A/HongKong/CUHK22736/1997	other_database_import	
A/HongKong/CUHK22048/1997	other_database_import	
A/HongKong/CUHK22185/1997	other_database_import	
A/HongKong/CUHK4622/1997	other_database_import	
A/HongKong/CUHK4529/1997	other_database_import	
A/HongKong/CUHK20236/1997	other_database_import	
A/HongKong/CUHK20320/1997	other_database_import	
A/Perth/9/1997	other_database_import	pathwest_qe_ii_medical_centre
A/HongKong/CUHK22013/1997	other_database_import	
A/HongKong/CUHK20992/1997	other_database_import	
A/HongKong/CUHK20010/1997	other_database_import	
A/HongKong/CUHK4542/1997	other_database_import	
A/HongKong/CUHK12794/1997	other_database_import	
A/Perth/5/1997	other_database_import	pathwest_qe_ii_medical_centre
A/HongKong/CUHK20199/1997	other_database_import	
A/HongKong/CUHK4803/1997	other_database_import	
A/HongKong/CUHK12566/1997	other_database_import	
A/HongKong/CUHK12563/1997	other_database_import	
A/Paris/908/1997	other_database_import	
A/Dakar/5/1997	national_institute_for_medical_research	institut_pasteur_de_dakar
A/Dakar/6/1997	national_institute_for_medical_research	institut_pasteur_de_dakar
A/HongKong/20/1996	other_database_import	
A/NewYork/569/1997	other_database_import	
A/NewYork/596/1996	other_database_import	
A/NewYork/571/1996	other_database_import	
A/NewYork/582/1996	other_database_import	
A/Lisbon/1/1997	national_institute_for_medical_research	instituto_nacional_de_saude
A/HongKong/357/1996	other_database_import	
A/Oklahoma/3003/1996	other_database_import	
A/NewYork/589/1996	other_database_import	
A/NewYork/578/1996	other_database_import	
A/NewYork/588/1996	other_database_import	
A/NewYork/602/1996	other_database_import	
A/NewYork/597/1997	other_database_import	
A/NewYork/598/1996	other_database_import	
A/NewYork/577/1996	other_database_import	
A/NewYork/567/1996	other_database_import	
A/NewYork/557/1996	other_database_import	
A/NewYork/603/1996	other_database_import	
A/NewYork/554/1996	other_database_import	
A/NewYork/586/1996	other_database_import	
A/Malaysia/10360/1996	other_database_import	
A/NewYork/555/1996	other_database_import	
A/NewYork/556/1996	other_database_import	
A/NewYork/561/1996	other_database_import	
A/NewYork/601/1996	other_database_import	
A/NewYork/595/1996	other_database_import	
A/NewYork/568/1996	other_database_import	
A/NewYork/559/1996	other_database_import	
A/SouthAfrica/D1147/1996-egg	national_institute_for_medical_research	national_institute_for_communicable_disease
A/SouthAfrica/1147/1996-egg	other_database_import	
A/HongKong/358/1996	other_database_import	
A/NewYork/563/1996	other_database_import	
A/HongKong/CUHK4245/1997	other_database_import	
A/Siena/1/1997	other_database_import	
A/HongKong/CUHK20213/1997	other_database_import	
A/Malaysia/13241/1997	other_database_import	
A/Malaysia/12726/1997	other_database_import	
A/HongKong/CUHK20523/1997	other_database_import	
A/HongKong/CUHK12160/1997	other_database_import	
A/Shenzhen/1718/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	who_chinese_national_influenza_center
A/Malaysia/10997/1996	other_database_import	
A/HongKong/CUHK18036/1998	other_database_import	
A/HongKong/CUHK18230/1998	other_database_import	
A/HongKong/CUHK19579/1998	other_database_import	
A/Canberra/9/1997	who_collaborating_centre_for_reference_and_research_on_influenza	canberra_hospital
A/NewYork/517/1998	other_database_import	
A/HongKong/CUHK10554/1998	other_database_import	
A/Memphis/31/1998	other_database_import	
A/Nagasaki/76/1998	other_database_import	
A/NewYork/539/1998	other_database_import	
A/HongKong/CUHK10954/1998	other_database_import	
A/NewYork/521/1998	other_database_import	
A/NewYork/520/1998	other_database_import	
A/NewYork/548/1998	other_database_import	
A/NewYork/522/1997	other_database_import	
A/NewYork/546/1998	other_database_import	
A/NewYork/506/1998	other_database_import	
A/NewYork/505/1997	other_database_import	
A/NewYork/534/1998	other_database_import	
A/NewYork/542/1998	other_database_import	
A/NewYork/547/1997	other_database_import	
A/NewYork/503/1997	other_database_import	
A/NewYork/519/1998	other_database_import	
A/NewYork/515/1997	other_database_import	
A/NewYork/511/1997	other_database_import	
A/NewYork/523/1998	other_database_import	
A/NewYork/531/1998	other_database_import	
