strain	submitting_lab	originating_lab
A/England/414/2010	other_database_import	
A/California/7-JRO10/2009-egg	pb2	seasonal_h1n1pdm
A/California/7/2009	centers_for_disease_control_and_prevention	naval_health_research_center
A/California/7-JRO09/2009-egg	pb2	seasonal_h1n1pdm
A/California/7-JRO08/2009-egg	pb2	seasonal_h1n1pdm
A/California/8/2009	centers_for_disease_control_and_prevention	naval_health_research_center
A/California/7/2009-egg	centers_for_disease_control_and_prevention	naval_health_research_center
A/California/8/2009-egg	centers_for_disease_control_and_prevention	naval_health_research_center
A/Moscow/WR1638T/2009	other_database_import	
A/Ankara/WRAIR1424T/2009	other_database_import	
A/SilverSpring/WRAIRSP510P3/2009	other_database_import	
A/Ankara/WRAIR1440T/2009	other_database_import	
A/HongKong/WRAIR0113N/2009	other_database_import	
A/Delaware/2/2009-egg	centers_for_disease_control_and_prevention	
A/Delaware/3/2009-egg	centers_for_disease_control_and_prevention	
A/Lima/WRAIR8648F/2009	other_database_import	
A/Bogota/WRAIR0435T/2009	other_database_import	
A/Bogota/WRAIR0442T/2009	other_database_import	
A/SanDiego/WRAIR1644P/2009	other_database_import	
A/Beijing/1/2009	other_database_import	who_chinese_national_influenza_center
A/Managua/343501/2009	other_database_import	
A/Managua/183602/2009	other_database_import	
A/Paris/2590/2009	institut_pasteur	
A/AddisAbaba/WR2848T/2009	other_database_import	
A/Houston/15OS/2009	other_database_import	
A/England/195/2009-egg	centers_for_disease_control_and_prevention	microbiology_services_colindale,_public_health_england
A/England/195/2009	national_institute_for_medical_research	microbiology_services_colindale,_public_health_england
A/Tianjin/SWL1/2009-egg	who_chinese_national_influenza_center	
A/Vladivostok/IIV17/2009	other_database_import	
A/Karasuk/1/2010	other_database_import	
A/SantoDomingo/574T/2009	other_database_import	
A/Centre/5461/2009	institut_pasteur	
A/Dakar/WRAIR0019T/2010	other_database_import	
A/Dakar/WRAIR0018N/2010	other_database_import	
A/Dakar/WRAIR0018T/2010	other_database_import	
A/Bretagne/7639/2009	institut_pasteur	
A/Dakar/WRAIR0020T/2010	other_database_import	
A/Moscow/WRAIR4316N/2011	other_database_import	
A/Moscow/WRAIR4316T/2011	other_database_import	
A/Mali/A_Mali-PERCH_011_2012/2012		virus_epidemiology_research_group,_kenya_medical_research_institute
A/Mali/A_Mali-PERCH_009_2012/2012		virus_epidemiology_research_group,_kenya_medical_research_institute
A/Guangdong/1/2009-egg	who_chinese_national_influenza_center	
A/Guangdong/1/2009	other_database_import	
A/Mexico/24058/2009	other_database_import	
A/Kuwait/4536/2009	centers_for_disease_control_and_prevention	u.s._naval_medical_research_unit_no.3
A/Uganda/7/2009	centers_for_disease_control_and_prevention	
A/Tianjin/SWL2/2009-egg	who_chinese_national_influenza_center	
A/Hunan/SWL3/2009-egg	who_chinese_national_influenza_center	
A/Hunan/SWL3/2009	other_database_import	
A/Niigata/700/2009	other_database_import	
A/Utsunomiya/1/2009	other_database_import	
A/BritishColumbia/RV2947/2009	other_database_import	
A/Mexico/LaGloria-3/2009-egg	other_database_import	
A/Mexico/LaGloria-8/2009-egg	other_database_import	
A/Mexico/LaGloria-4/2009-egg	other_database_import	
A/Beijing/SWL6/2009-egg	who_chinese_national_influenza_center	
A/California/VRDL11/2009	other_database_import	
A/Israel/644/2009	national_institute_for_medical_research	central_virology_laboratory_israel_(nic)
A/Wisconsin/629-D00064/2009	other_database_import	
