strain	originating_lab	submitting_lab
B/Memphis/20/1996	centers_for_disease_control_and_prevention	other_database_import
B/Jinfang/39/1996-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Jinfang/33/1996-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Nanchang/15/1995		other_database_import
B/California/1/1995-egg	seasonal_yam	
B/Nanchang/20/1996		other_database_import
B/Florida/1/1996		other_database_import
B/Malaysia/6535/1995		other_database_import
B/Indiana/1/1995		other_database_import
B/Texas/19/1996		other_database_import
B/NewYork/1016/1996		other_database_import
B/NewYork/1015/1996		other_database_import
B/NewYork/1014/1996		other_database_import
B/Malaysia/11721/1997		other_database_import
B/Houston/B60/1997		other_database_import
B/Houston/B63/1997		other_database_import
B/Houston/B61/1997		other_database_import
B/Houston/B58/1997		other_database_import
B/Houston/B57/1997		other_database_import
B/Malaysia/11169/1996		other_database_import
B/Malaysia/13696/1997		other_database_import
B/Malaysia/13396/1997		other_database_import
B/Malaysia/13367/1997		other_database_import
B/Malaysia/13395/1997		other_database_import
B/Singapore/35/1998		other_database_import
B/Saga/S172/1999		other_database_import
B/Bangkok/11/2000	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	who_collaborating_centre_for_reference_and_research_on_influenza
B/Perth/1/2000	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
B/Malaysia/13494/1997		other_database_import
B/Auckland/1/2000-egg	seasonal_yam	
B/Yamagata/K270/2001		other_database_import
B/Yamagata/K501/2001		other_database_import
B/Yamagata/K520/2001		other_database_import
B/Yamagata/K320/2001		other_database_import
B/Houston/B56/1997		other_database_import
B/Brazil/975/2000		other_database_import
B/Brazil/952/2001		other_database_import
B/Memphis/12/1997		other_database_import
B/Memphis/10/1997		other_database_import
B/NewYork/1018/1997		other_database_import
B/NewYork/1017/1997		other_database_import
B/Houston/B59/1997		other_database_import
B/Yamanashi/166/1998-egg	seasonal_yam	
B/Yamanashi/166/1998	erasmus_medical_center	other_database_import
B/Temple/B7/1999		other_database_import
B/NewYork/1019/1999		other_database_import
B/Houston/B15/1999		other_database_import
B/Temple/B10/1999		other_database_import
B/Temple/B8/1999		other_database_import
B/Temple/B9/1999		other_database_import
B/Houston/B65/1998		other_database_import
B/Michigan/22572/1999		other_database_import
B/Memphis/8/1999		other_database_import
B/Florida/2/1998		other_database_import
B/Georgia/4/1998-egg	seasonal_yam	
B/Georgia/2/1998-egg	seasonal_yam	
B/Alaska/12/1996		other_database_import
B/Malaysia/10837/1996		other_database_import
B/Malaysia/11087/1996		other_database_import
B/Malaysia/10928/1996		other_database_import
B/Malaysia/11185/1996		other_database_import
B/Switzerland/4291/1997		other_database_import
B/Singapore/22/1998		other_database_import
B/Singapore/31/1998		other_database_import
B/Kochi/193/1999-egg	seasonal_yam	
B/Kochi/193/1999		other_database_import
B/Nanchang/7/1998		other_database_import
B/Memphis/21/1996		other_database_import
B/Temple/B3/1999		other_database_import
B/Michigan/22721/1999		other_database_import
B/NewYork/20139/1999		other_database_import
B/Netherlands/1/1998	erasmus_medical_center	erasmus_medical_center
B/Bucharest/311/1998-egg	seasonal_yam	
B/Romania/318/1998-egg	seasonal_yam	
B/Malaysia/10941/1996		other_database_import
B/NewCaledonia/1/2001	institut_pasteur_new_caledonia	who_collaborating_centre_for_reference_and_research_on_influenza
B/Shizuoka/480/2000-egg	seasonal_yam	
B/Victoria/504/2000-egg	seasonal_yam	
B/Victoria/504/2000		
B/NewYork/347/1999		other_database_import
B/Paris/549/1999-egg	seasonal_yam	
B/Romania/217/1999-egg	seasonal_yam	
B/Vienna/1/1999		other_database_import
B/NewYork/1029/2001		other_database_import
B/NewYork/1036/2001		other_database_import
B/NewYork/1032/2001		other_database_import
B/NewYork/1024/2001		other_database_import
B/NewYork/1022/2000		other_database_import
B/NewYork/1028/2001		other_database_import
B/NewYork/1034/2001		other_database_import
B/NewYork/1044/2001		other_database_import
B/NewYork/1040/2001		other_database_import
B/Texas/1/2000		other_database_import
B/Johannesburg/5/1999-egg	seasonal_yam	
B/Christchurch/8/2000-egg	canterbury_health_services	who_collaborating_centre_for_reference_and_research_on_influenza
B/Wellington/3/2001	institute_of_environmental_science_and_research_(esr)	who_collaborating_centre_for_reference_and_research_on_influenza
B/Houston/B68/2000		other_database_import
B/Houston/B66/2000		other_database_import
B/Mexico/84/2000-egg	seasonal_yam	
B/Victoria/527/2000	monash_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
B/Victoria/311/2000-egg	royal_chidrens_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
B/Victoria/311/2000	royal_chidrens_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
B/Alaska/16/2000-egg	seasonal_yam	
B/Alaska/16/2000		other_database_import
B/Texas/6/2000		other_database_import
B/NewYork/1026/2001		other_database_import
B/Memphis/3/2001		other_database_import
B/Maryland/1/2001		other_database_import
B/Taiwan/1742/2000		other_database_import
B/Sichuan/379/1999	erasmus_medical_center	other_database_import
B/Perth/2/2000	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
B/Taiwan/3852/2000		other_database_import
B/Taiwan/2091/2000		other_database_import
B/Malaysia/13693/1997		other_database_import
B/Netherlands/426/1998	erasmus_medical_center	erasmus_medical_center
B/Seoul/1163/2004		other_database_import
B/Shenfang/77/2000-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Taiwan/481/2001		other_database_import
B/Auckland/3/2001	auckland_healthcare	who_collaborating_centre_for_reference_and_research_on_influenza
B/Taiwan/13/2001		other_database_import
B/Taiwan/634/2001		other_database_import
B/Taiwan/2112/2001		other_database_import
B/Taiwan/45/2001		other_database_import
B/Christchurch/38/2005		other_database_import
B/Rome/4/2002		other_database_import
B/Shanghai/361/2002-egg	centers_for_disease_control_and_prevention	who_collaborating_centre_for_reference_and_research_on_influenza
B/Bucharest/795/2003		other_database_import
B/Jiangsu/10/2003	centers_for_disease_control_and_prevention	who_collaborating_centre_for_reference_and_research_on_influenza
B/Yamagata/1246/2003		other_database_import
B/Jilin/20/2003	national_institute_for_biological_standards_and_control_(nibsc)	other_database_import
B/Bangkok/460/2003	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	other_database_import
B/HongKong/CUHK-24964/2004		other_database_import
B/Saraburi/173/2004	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	who_collaborating_centre_for_reference_and_research_on_influenza
B/Perth/6/2003	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
B/Chanthaburi/218/2003	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	other_database_import
B/Taiwan/125/2004-egg		other_database_import
B/Taiwan/70125/2004		other_database_import
B/NewYork/1062/2004		other_database_import
B/Myanmar/M047/2005		niigata_university
B/Mogilev/207/2007		centers_for_disease_control_and_prevention
B/Soligorsk/140/2007		centers_for_disease_control_and_prevention
B/Victoria/515/2004		other_database_import
B/Taiwan/34/2004		other_database_import
B/Taiwan/102/2005		other_database_import
B/Taiwan/629/2005		other_database_import
B/Taiwan/70539/2005		other_database_import
B/Taiwan/539/2005-egg		other_database_import
B/Taiwan/249/2005		other_database_import
B/Taiwan/71891/2004		other_database_import
B/Taiwan/71718/2004		other_database_import
B/Jiangxi/568/2004	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Anhui/761/2004	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Taiwan/72068/2004		other_database_import
B/Taiwan/3236/2004		other_database_import
B/Taiwan/2143/2004		other_database_import
B/Finland/223/2003		other_database_import
B/Finland/231/2003		other_database_import
B/Fujian/437/2004-egg		centers_for_disease_control_and_prevention
B/Anhui/745/2004	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Taiwan/1026/2005		other_database_import
B/Wellington/1/2004		other_database_import
B/Taiwan/637/2005		other_database_import
B/Taiwan/635/2005		other_database_import
B/Christchurch/242/2004		other_database_import
B/Christchurch/22/2004		other_database_import
B/NewYork/1061/2004		other_database_import
B/Christchurch/95/2004		other_database_import
B/Otago/2/2004		other_database_import
B/Taiwan/70146/2005		other_database_import
B/Taiwan/2846/2004		other_database_import
B/Taiwan/500/2005		other_database_import
B/Taiwan/81/2005		other_database_import
B/Taiwan/500/2005-egg		other_database_import
B/Taiwan/3395/2004-egg		other_database_import
B/Taiwan/68/2004		other_database_import
B/Taiwan/52/2004		other_database_import
B/Taiwan/3395/2004		other_database_import
B/Taiwan/165/2005		other_database_import
B/Taiwan/70131/2005		other_database_import
B/Taiwan/783/2005		other_database_import
