strain	submitting_lab	originating_lab
B/Taiwan/21706/1997	other_database_import	
B/HongKong/22/2001	other_database_import	
B/HongKong/6/2001-egg	ns	seasonal_vic
B/Akita/27/2001-egg	ns	seasonal_vic
B/HongKong/330/2001-egg	ns	seasonal_vic
B/HongKong/330/2001	other_database_import	
B/HongKong/123/2001-egg	ns	seasonal_vic
B/HongKong/28/2001	other_database_import	
B/HongKong/1434/2002-egg	ns	seasonal_vic
B/HongKong/1115/2002-egg	ns	seasonal_vic
B/HongKong/167/2002-egg	ns	seasonal_vic
B/Hawaii/10/2001-egg	ns	seasonal_vic
B/Trieste/28/2002	other_database_import	
B/Yamagata/222/2002	other_database_import	
B/Shandong/7/1997	other_database_import	erasmus_medical_center
B/Henan/22/1997	other_database_import	
B/Nanchang/2/1997	other_database_import	
B/Aichi/3/1998	other_database_import	
B/Beijing/243/1997	other_database_import	
B/Osaka/547/1997	other_database_import	
B/Aichi/33/1997	other_database_import	
B/Aichi/15/1997	other_database_import	
B/Chiba/447/1998	other_database_import	
B/Taiwan/1484/2001	other_database_import	
B/Malaysia/15048/1998	other_database_import	
B/Nanchang/6/1998	other_database_import	
B/Aichi/20/1999	other_database_import	
B/Shiga/51/1998	other_database_import	
B/Taiwan/39/2004	other_database_import	
B/Taiwan/70878/2005	other_database_import	
B/HongKong/537/2009	centers_for_disease_control_and_prevention	government_virus_unit
B/Taiwan/70299/2005	other_database_import	
B/Taiwan/70555/2005	other_database_import	
B/Taiwan/70149/2005	other_database_import	
B/Taiwan/52/2005	other_database_import	
B/Taiwan/70007/2005	other_database_import	
B/Taiwan/70949/2005	other_database_import	
B/Taiwan/204/2005	other_database_import	
B/Taiwan/501/2005	other_database_import	
B/Taiwan/72266/2004	other_database_import	
B/Taiwan/70122/2005	other_database_import	
B/Taiwan/70325/2005	other_database_import	
B/Taiwan/710/2005	other_database_import	
B/Taiwan/219/2005	other_database_import	
B/Taiwan/188/2005	other_database_import	
B/Malaysia/33772/2005	other_database_import	
B/Malaysia/33808/2006	other_database_import	
B/Malaysia/33937/2006	other_database_import	
B/Malaysia/1781325/2007	other_database_import	
B/Malaysia/30474/2004	other_database_import	
B/HongKong/310/2004-egg	ns	seasonal_vic
B/HongKong/310/2004	other_database_import	
B/Malaysia/34094/2006	other_database_import	
B/Malaysia/33951/2006	other_database_import	
B/Malaysia/1733951/2007	other_database_import	
B/Malaysia/33021/2005	other_database_import	
B/Malaysia/33271/2005	other_database_import	
B/Malaysia/34079/2006	other_database_import	
B/Malaysia/33922/2006	other_database_import	
B/Malaysia/1723975/2007	other_database_import	
B/Malaysia/30552/2004	other_database_import	
B/Malaysia/29570/2004	other_database_import	
B/Taiwan/90680/2005	other_database_import	
B/Townsville/9/2005	other_database_import	
B/Townsville/6/2005	other_database_import	
B/Wellington/1/2005	other_database_import	
B/Wellington/28/2005	other_database_import	
B/Wellington/94/2005	other_database_import	
