strain	submitting_lab	originating_lab
B/Nanchang/3/1995	other_database_import	
A/Hanoi/59/1999-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_of_hygiene_and_epidemiology
B/Hawaii/10/2001	other_database_import	
B/HongKong/330/2001	other_database_import	
B/HongKong/22/2001	other_database_import	
B/HongKong/6/2001-egg	ha	seasonal_vic
B/HongKong/6/2001	other_database_import	
B/HongKong/330/2001-egg	other_database_import	
B/Akita/27/2001-egg	ha	seasonal_vic
B/Akita/5/2001-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_of_infectious_diseases_(niid)
B/Akita/27/2001	other_database_import	
B/Akita/5/2001	other_database_import	national_institute_of_infectious_diseases_(niid)
B/Hawaii/10/2001-egg	ha	seasonal_vic
B/HongKong/28/2001	other_database_import	
B/Victoria/506/2002	other_database_import	
B/Netherlands/151/2001	erasmus_medical_center	erasmus_medical_center
B/Netherlands/304/2002	erasmus_medical_center	erasmus_medical_center
B/HongKong/123/2001-egg	ha	seasonal_vic
B/HongKong/123/2001	other_database_import	
B/HongKong/1434/2002-egg	ha	seasonal_vic
B/HongKong/1434/2002	other_database_import	
B/HongKong/1115/2002-egg	ha	seasonal_vic
B/HongKong/1115/2002	other_database_import	
B/HongKong/167/2002-egg	ha	seasonal_vic
B/HongKong/1345/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	centers_for_disease_control_and_prevention
B/Sichuan/259/2003-egg	centers_for_disease_control_and_prevention	
B/Sichuan/259/2003	other_database_import	
B/Fujian/203/2003-egg	who_collaborating_centre_for_reference_and_research_on_influenza	centers_for_disease_control_and_prevention
B/Fujian/198/2003	other_database_import	
B/Fujian/198/2003-egg	centers_for_disease_control_and_prevention	
B/Bangkok/4028/1998-egg	national_institute_for_medical_research	
B/Sichuan/53/1996-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Nanchang/6/1998	other_database_import	
B/Nanchang/15/1997	other_database_import	
B/Nanchang/4/1997	other_database_import	
B/Nanchang/2/1997	other_database_import	
B/Nanchang/5/1997	other_database_import	
B/Shandong/7/1997	erasmus_medical_center	erasmus_medical_center
B/Sichuan/207/1999-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Osaka/547/1997	other_database_import	
B/Malaysia/15048/1998	other_database_import	
B/Taiwan/1484/2001	other_database_import	
B/Brisbane/41/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
B/Sydney/211/2002	other_database_import	
B/Sydney/6/2002	other_database_import	
B/Sydney/1/2002	other_database_import	
B/Wellington/7/2002	other_database_import	
B/Sydney/86/2002	other_database_import	
B/Victoria/160/2002	other_database_import	
B/Victoria/151/2002	other_database_import	
B/Brisbane/17/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
B/Brisbane/26/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
B/Brisbane/32/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
B/Taiwan/3246/2002-egg	other_database_import	
B/Brisbane/21/2002	other_database_import	
B/Netherlands/138/2003	erasmus_medical_center	erasmus_medical_center
B/Townsville/9/2002	other_database_import	
B/Townsville/11/2002	other_database_import	
B/Waikato/20/2002	other_database_import	
B/Wellington/5/2002	other_database_import	
B/Waikato/27/2002	other_database_import	
B/Brisbane/52/2002	other_database_import	
B/Sydney/70/2002	other_database_import	
B/Netherlands/1/2003	erasmus_medical_center	erasmus_medical_center
B/Victoria/158/2002	other_database_import	
