strain	originating_lab	submitting_lab
A/Victoria/2121/2009	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/California/7-JRO10/2009-egg	seasonal_h1n1pdm	ha
A/California/7/2009	naval_health_research_center	national_institute_for_biological_standards_and_control_(nibsc)
A/Fukuoka-C/3/2009		other_database_import
A/California/7/2009-egg	naval_health_research_center	national_institute_for_biological_standards_and_control_(nibsc)
A/California/7-JRO09/2009-egg	seasonal_h1n1pdm	ha
A/California/8/2009	naval_health_research_center	centers_for_disease_control_and_prevention
A/California/8/2009-egg	naval_health_research_center	centers_for_disease_control_and_prevention
A/California/7-JRO08/2009-egg	seasonal_h1n1pdm	ha
A/Beijing/1/2009	who_chinese_national_influenza_center	other_database_import
A/Delaware/3/2009-egg		centers_for_disease_control_and_prevention
A/Delaware/2/2009-egg		centers_for_disease_control_and_prevention
A/Delaware/5/2009-egg		centers_for_disease_control_and_prevention
A/Mexico/3955/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Mexico/4108/2009-egg	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Mexico/4108/2009	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Texas/8/2009		centers_for_disease_control_and_prevention
A/Texas/10/2009-egg		centers_for_disease_control_and_prevention
A/Texas/11/2009-egg		centers_for_disease_control_and_prevention
A/Texas/5/2009	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Texas/5/2009-egg	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Texas/4/2009	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Texas/4/2009-egg	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Texas/8/2009-egg		centers_for_disease_control_and_prevention
A/Texas/9/2009-egg		centers_for_disease_control_and_prevention
A/Texas/9/2009		centers_for_disease_control_and_prevention
A/Texas/6/2009		centers_for_disease_control_and_prevention
A/Florida/8/2009		centers_for_disease_control_and_prevention
A/Kansas/3/2009-egg	kansas_department_of_health_and_environment	centers_for_disease_control_and_prevention
A/Kansas/3/2009	kansas_department_of_health_and_environment	centers_for_disease_control_and_prevention
A/Toronto/462/2009		other_database_import
A/Texas/17/2009-egg		centers_for_disease_control_and_prevention
A/Texas/20/2009-egg		centers_for_disease_control_and_prevention
A/Kisumu/61/2009	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Brazil/441/2009-egg	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	centers_for_disease_control_and_prevention
A/MinasGerais/490/2009	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)
A/Kuwait/N13012/2009		other_database_import
A/Iraq/4066/2009	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Kuwait/N13020/2009		other_database_import
A/Afghanistan/N09836/2009		other_database_import
A/Afghanistan/N09817/2009		other_database_import
A/Afghanistan/N10782/2009		other_database_import
A/Afghanistan/N10790/2009		other_database_import
A/Austria/219/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Afghanistan/N10731/2009		other_database_import
A/Mexico/InDRE4487/2009-egg		centers_for_disease_control_and_prevention
A/Beijing/SWL6/2009-egg		who_chinese_national_influenza_center
A/MexicoCity/5/2009		other_database_import
A/Arizona/3/2009-egg		centers_for_disease_control_and_prevention
A/Norway/1359/2009		other_database_import
A/Fujian/SWL3/2009-egg		who_chinese_national_influenza_center
A/Mexico/InDRE4487/2009		other_database_import
A/England/418/2009	microbiology_services_colindale,_public_health_england	health_protection_agency
A/England/384/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Kobe/9015/2009		other_database_import
A/Arizona/2/2009-egg		centers_for_disease_control_and_prevention
A/Arizona/2/2009		centers_for_disease_control_and_prevention
A/England/328/2009		other_database_import
A/England/386/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Ontario/152439/2009		other_database_import
A/Sachsen/92/2009	robert_koch_institute	robert_koch_institute
A/Beijing/SWL5/2009		who_chinese_national_influenza_center
A/SanDiego/WRAIR1647P/2009		other_database_import
A/NewYork/3307/2009		other_database_import
A/Mexico/LaGloria-4/2009-egg		other_database_import
A/Mexico/LaGloria-8/2009-egg		other_database_import
A/Tianjin/SWL1/2009-egg		who_chinese_national_influenza_center
A/Arizona/4/2009-egg		centers_for_disease_control_and_prevention
A/Kobe/9336/2009		other_database_import
A/Perth/29/2009	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/Austria/217/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Taiwan/90262/2011		other_database_import
A/Hyogo/2/2009		other_database_import
A/Himeji/1/2009		other_database_import
A/Guangdong/1/2009-egg		who_chinese_national_influenza_center
A/Guangdong/1/2009		other_database_import
A/England/195/2009-egg	microbiology_services_colindale,_public_health_england	centers_for_disease_control_and_prevention
A/Managua/533904/2009		other_database_import
A/Timis/2018/2009	cantacuzino_institute	national_institute_for_medical_research
A/Austria/215/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Qingdao/399/2009-egg		other_database_import
A/England/414/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/England/195/2009	microbiology_services_colindale,_public_health_england	national_institute_for_medical_research
A/Finland/581/2009		other_database_import
A/Shimane/1004/2009		national_institute_of_infectious_diseases_(niid)
A/NewYork/3709/2009		other_database_import
A/SouthCarolina/9/2009-egg		centers_for_disease_control_and_prevention
A/SouthCarolina/10/2009-egg		centers_for_disease_control_and_prevention
A/SouthCarolina/9/2009		centers_for_disease_control_and_prevention
A/SantoDomingo/573N/2009		other_database_import
A/Aichi/364/2009	aichi_prefectural_institute_of_public_health	aichi_prefectural_institute_of_public_health
A/Lima/WRAIR1687P/2009		other_database_import
A/SantoDomingo/WR1056T/2009		other_database_import
A/Austria/214/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/213/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Tallinn/INS431/2010		other_database_import
A/Dakar/WRAIR0019T/2010		other_database_import
A/SantoDomingo/WRAIR1404T/2009		other_database_import
A/CoteDIvoire/830/2010	pasteur_institut_of_côte_d'ivoire	centers_for_disease_control_and_prevention
A/Cameroon/LEID-01-11-1387/2011	centre_pasteur_du_cameroun	national_institute_for_medical_research
A/Ghana/FS/10-4400/2010	university_of_ghana	national_institute_for_medical_research
A/Cameroon/10v-1090/2010	centre_pasteur_du_cameroun	national_institute_for_medical_research
A/Senegal/31/2010	institut_pasteur_de_dakar	national_institute_for_medical_research
A/Austria/208/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/206/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/203/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/209/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/211/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/207/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/210/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/204/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/205/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Austria/212/2009-egg	department_of_virology,_medical_university_vienna	medical_university_vienna
A/Sc/103/2009	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Cameroon/CAM13766HIN/2010	centre_pasteur_du_cameroun	national_institute_for_medical_research
A/Moscow/WRAIR4316T/2011		other_database_import
A/Dakar/9/2011	institut_pasteur_de_dakar	national_institute_for_medical_research
A/Dakar/11/2011	institut_pasteur_de_dakar	national_institute_for_medical_research
A/Dakar/14/2011	institut_pasteur_de_dakar	national_institute_for_medical_research
A/Dakar/29/2011	institut_pasteur_de_dakar	national_institute_for_medical_research
A/Dakar/3/2012	institut_pasteur_de_dakar	national_institute_for_medical_research
A/Ghana/FS-1615/2012	university_of_ghana	national_institute_for_medical_research
A/Mali/A_Mali-PERCH_011_2012/2012	virus_epidemiology_research_group,_kenya_medical_research_institute	
A/CoteDIvoire/1186/2012	pasteur_institut_of_côte_d'ivoire	centers_for_disease_control_and_prevention
A/Ghana/FS-0895/2012	university_of_ghana	national_institute_for_medical_research
A/BurkinaFaso/875/2013	irss	centers_for_disease_control_and_prevention
A/BurkinaFaso/876/2013	irss	centers_for_disease_control_and_prevention
A/BurkinaFaso/859/2013	irss	centers_for_disease_control_and_prevention
A/Yopougon/GR518/2012	pasteur_institut_of_côte_d'ivoire	national_institute_for_medical_research
A/CoteDIvoire/1575/2013	pasteur_institut_of_côte_d'ivoire	centers_for_disease_control_and_prevention
A/Mali/A_Mali-PERCH_009_2012/2012	virus_epidemiology_research_group,_kenya_medical_research_institute	
