strain	submitting_lab	originating_lab
B/Memphis/18/1995		
B/Nashville/3/1996	other_database_import	
B/Russia/22/1995-egg	ha	seasonal_yam
B/Netherlands/8/1995	erasmus_medical_center	erasmus_medical_center
B/Memphis/20/1996	centers_for_disease_control_and_prevention	centers_for_disease_control_and_prevention
B/Netherlands/97/1996	erasmus_medical_center	erasmus_medical_center
B/Netherlands/84/1996	erasmus_medical_center	erasmus_medical_center
B/Indiana/1/1995	other_database_import	
B/Malaysia/6535/1995	other_database_import	
B/Texas/19/1996	other_database_import	
B/NewYork/1016/1996	other_database_import	
B/NewYork/1014/1996	other_database_import	
B/NewYork/1015/1996	other_database_import	
B/Johannesburg/79/1996-egg	national_institute_for_medical_research	national_institute_for_communicable_disease
B/Memphis/21/1996	other_database_import	
B/Houston/2/1996		
B/Singapore/22/1998	other_database_import	
B/Singapore/31/1998	other_database_import	
B/Johannesburg/73/1998-egg	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_for_communicable_disease
B/Johannesburg/84/1998-egg	national_institute_for_medical_research	national_institute_for_communicable_disease
B/Kochi/193/1999	other_database_import	
B/Kochi/193/1999-egg	ha	seasonal_yam
B/Malaysia/11087/1996	other_database_import	
B/Malaysia/10837/1996	other_database_import	
B/Malaysia/11185/1996	other_database_import	
B/Alaska/12/1996	other_database_import	
B/Johannesburg/27/1997-egg	national_institute_for_medical_research	national_institute_for_communicable_disease
B/Malaysia/10928/1996	other_database_import	
B/Switzerland/4291/1997	other_database_import	
B/Netherlands/129/1997	erasmus_medical_center	erasmus_medical_center
B/Malaysia/11721/1997	other_database_import	
B/Brazil/975/2000	other_database_import	
B/HongKong/147/1999	other_database_import	
B/Malaysia/11169/1996	other_database_import	
B/HongKong/110/1999	other_database_import	
B/Auckland/1/2000-egg	ha	seasonal_yam
B/Malaysia/13494/1997	other_database_import	
B/Singapore/35/1998	other_database_import	
B/Malaysia/13396/1997	other_database_import	
B/Malaysia/13367/1997	other_database_import	
B/Malaysia/13696/1997	other_database_import	
B/Malaysia/13395/1997	other_database_import	
B/Lisbon/3/1996	other_database_import	instituto_nacional_de_saude
B/Houston/B63/1997	other_database_import	
B/Houston/B60/1997	other_database_import	
B/Houston/B57/1997	other_database_import	
B/Netherlands/40/1997	erasmus_medical_center	erasmus_medical_center
B/Netherlands/3/1998	erasmus_medical_center	erasmus_medical_center
B/Lisbon/3/1996-egg	national_institute_for_medical_research	instituto_nacional_de_saude
B/Houston/B61/1997	other_database_import	
B/Houston/B58/1997	other_database_import	
