strain	submitting_lab	originating_lab
B/Nanchang/8/1995	other_database_import	
B/Chiba/447/1998	other_database_import	
B/Nanchang/15/1997	other_database_import	
B/Nanchang/5/1997	other_database_import	
B/Nanchang/2/1997	other_database_import	
B/Nanchang/4/1997	other_database_import	
B/Sichuan/53/1996-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Guangzhou/7/1997	other_database_import	
B/Beijing/243/1997	other_database_import	
B/Henan/22/1997	other_database_import	
B/Sichuan/281/1996	other_database_import	
B/Shandong/7/1997	other_database_import	erasmus_medical_center
B/Aichi/20/1999	other_database_import	
B/Sichuan/207/1999-egg	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Bangkok/34/1999	other_database_import	
B/Bangkok/54/1999	other_database_import	
B/Malaysia/15048/1998	other_database_import	
B/Taiwan/1484/2001	other_database_import	
B/Oman/16296/2001	other_database_import	
B/Malaysia/83077/2001	other_database_import	
B/Nanchang/3/1995	other_database_import	
B/Bangkok/SI80/2014	other_database_import	
B/Gyeongnam/204/2008	other_database_import	
B/Singapore/35/2006	centers_for_disease_control_and_prevention	
B/Pennsylvania/2/2007-egg	centers_for_disease_control_and_prevention	
B/Jordan/358/2006	centers_for_disease_control_and_prevention	
B/Kolkata/515/2006	other_database_import	
B/Kolkata/1857/2008	other_database_import	
B/Kolkata/2065/2008	other_database_import	
B/Newcastle/12/2005	other_database_import	
B/Trieste/27/2002	other_database_import	
B/Madagascar/67860/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	crick_worldwide_influenza_centre
B/Singapore/1/2002	who_collaborating_centre_for_reference_and_research_on_influenza	singapore_general_hospital
B/Brisbane/32/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
B/Brisbane/32/2002	other_database_import	queensland_health_forensic_and_scientific_services_
B/Brisbane/28/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
B/Indonesia/8654/2002	who_collaborating_centre_for_reference_and_research_on_influenza	u.s._namru_2___indonesia
B/Malaysia/46/2002	who_collaborating_centre_for_reference_and_research_on_influenza	institut_penyelidikan_perubatan
B/Malaysia/22059/2002	who_collaborating_centre_for_reference_and_research_on_influenza	institut_penyelidikan_perubatan
B/Philippines/SA59/2002	other_database_import	
B/Yamagata/115/2003	other_database_import	
B/Israel/95/2003	other_database_import	
B/Argentina/66/2002	who_collaborating_centre_for_reference_and_research_on_influenza	who_collaborating_centre_for_reference_and_research_on_influenza
B/Christchurch/118/2002	other_database_import	
B/Iowa/3/2002-egg		seasonal_vic
B/Taiwan/2643/2002-egg	other_database_import	
B/Brisbane/52/2002	other_database_import	
B/Johannesburg/8/2002	who_collaborating_centre_for_reference_and_research_on_influenza	national_institute_for_communicable_disease
B/Sydney/202/2002	other_database_import	
B/Townsville/5/2002	other_database_import	
B/Brisbane/24/2002-egg	other_database_import	
B/Brisbane/27/2002-egg	other_database_import	
B/Brisbane/26/2002-egg	who_collaborating_centre_for_reference_and_research_on_influenza	queensland_health_forensic_and_scientific_services_
B/Brisbane/4/2002	other_database_import	
B/Brisbane/8/2002	other_database_import	
B/Brisbane/30/2002-egg	other_database_import	
B/Brisbane/25/2002-egg	other_database_import	
B/Bangkok/62/2002	who_collaborating_centre_for_reference_and_research_on_influenza	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
B/Thailand/SA7/2002	other_database_import	
B/Houston/B75/2002	other_database_import	
B/Thailand/SA32/2002	other_database_import	
B/Bangkok/217/2002	who_collaborating_centre_for_reference_and_research_on_influenza	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
B/Chanthaburi/328/2002	who_collaborating_centre_for_reference_and_research_on_influenza	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)
B/Thailand/SA1/2002	other_database_import	
B/Taiwan/3246/2002-egg	other_database_import	
B/NewYork/1/2002	other_database_import	
B/Auckland/35/2002	other_database_import	
B/LosAngeles/1/2002	other_database_import	
B/NewYork/1053/2002	other_database_import	
B/Houston/B70/2002	other_database_import	
B/NewYork/1051/2002	other_database_import	
B/NewYork/1049/2002	other_database_import	
B/Maryland/1/2002	other_database_import	
B/Dunedin/1/2002	other_database_import	
B/Wellington/2/2002	other_database_import	
B/Christchurch/111/2002	other_database_import	
B/Philippines/SA65/2002	other_database_import	
B/Philippines/SA46/2002	other_database_import	
B/Philippines/SA51/2002	other_database_import	
B/Philippines/SA47/2002	other_database_import	
B/Tehran/80/2002	other_database_import	
B/Barcelona/215/2003	other_database_import	
B/Finland/227/2003	other_database_import	
B/Netherlands/138/2003	erasmus_medical_center	erasmus_medical_center
B/Rome/3/2003	other_database_import	
B/Genoa/2059/2003	other_database_import	
B/Netherlands/1/2003	erasmus_medical_center	erasmus_medical_center
B/Parma/1/2003	other_database_import	
B/Perugia/4/2003	other_database_import	
B/Victoria/149/2002	other_database_import	
B/Finland/235/2003	other_database_import	
B/Finland/220/2003	other_database_import	
B/Moscow/3/2003	other_database_import	
B/Finland/244/2003	other_database_import	
B/Finland/204/2003	other_database_import	
B/Victoria/133/2002	other_database_import	
B/Sydney/45/2002	other_database_import	
B/Sydney/204/2002	other_database_import	
B/Sydney/203/2002	other_database_import	
B/Victoria/127/2002	other_database_import	
B/Sydney/64/2002	other_database_import	
B/Texas/3/2006	other_database_import	
B/Nepal/1106/2005	other_database_import	
B/Houston/B77/2002	other_database_import	
B/Houston/B74/2002	other_database_import	
B/Houston/B71/2002	other_database_import	
B/Waikato/1/2002	who_collaborating_centre_for_reference_and_research_on_influenza	institute_of_environmental_science_and_research_(esr)
B/Christchurch/136/2002	who_collaborating_centre_for_reference_and_research_on_influenza	canterbury_health_services
B/Taiwan/76/2003	other_database_import	
B/Taiwan/937/2003	other_database_import	
B/Houston/B88/2003	other_database_import	
B/Hawaii/NHRC0001/2003	other_database_import	
B/Victoria/500/2002	other_database_import	
B/NewYork/1050/2002	other_database_import	
B/HongKong/1351/2002	other_database_import	centers_for_disease_control_and_prevention
B/Hunan-Lusong/1459/2006	who_chinese_national_influenza_center	who_chinese_national_influenza_center
B/Jeju/303/2003	other_database_import	
B/HongKong/553a/2003	other_database_import	
