strain	submitting_lab	originating_lab
B/Sydney/503/2005	other_database_import	
B/Akita/27/2001-egg	pb2	seasonal_vic
B/HongKong/6/2001-egg	pb2	seasonal_vic
B/HongKong/22/2001	other_database_import	
B/HongKong/330/2001-egg	pb2	seasonal_vic
B/HongKong/330/2001	other_database_import	
B/HongKong/1434/2002-egg	pb2	seasonal_vic
B/HongKong/167/2002-egg	pb2	seasonal_vic
B/HongKong/1115/2002-egg	pb2	seasonal_vic
B/HongKong/123/2001-egg	pb2	seasonal_vic
B/HongKong/28/2001	other_database_import	
B/Hawaii/10/2001-egg	pb2	seasonal_vic
B/Victoria/506/2002	other_database_import	
B/Trieste/28/2002	other_database_import	
B/Nanchang/6/1998	other_database_import	
B/Chiba/447/1998	other_database_import	
B/Nanchang/2/1997	other_database_import	
B/Henan/22/1997	other_database_import	
B/Shiga/51/1998	other_database_import	
B/Beijing/243/1997	other_database_import	
B/Osaka/547/1997	other_database_import	
B/Shandong/7/1997	other_database_import	erasmus_medical_center
B/Malaysia/15048/1998	other_database_import	
B/Taiwan/1484/2001	other_database_import	
B/Tehran/80/2002	other_database_import	
B/Brisbane/47/2002	other_database_import	
B/Brisbane/7/2002	other_database_import	
B/Moscow/3/2003	other_database_import	
B/India/VD1041860/2010	other_database_import	
B/Barcelona/215/2003	other_database_import	
B/Sydney/24/2002	other_database_import	
B/Sydney/204/2002	other_database_import	
B/Victoria/349/2002	other_database_import	
B/Victoria/115/2002	other_database_import	
B/Sydney/203/2002	other_database_import	
B/Houston/B75/2002	other_database_import	
B/LosAngeles/1/2002	other_database_import	
B/Wellington/8/2002	other_database_import	
B/Victoria/159/2002	other_database_import	
B/Israel/95/2003	other_database_import	
B/Perth/25/2002	other_database_import	
B/Sydney/6/2002	other_database_import	
B/Christchurch/118/2002	other_database_import	
B/Sydney/211/2002	other_database_import	
B/Brisbane/39/2002	other_database_import	
B/Iowa/3/2002-egg	pb2	seasonal_vic
B/Houston/B70/2002	other_database_import	
B/Brisbane/32/2002-egg	pb2	seasonal_vic
B/NewYork/1049/2002	other_database_import	
B/Christchurch/111/2002	other_database_import	
B/Dunedin/1/2002	other_database_import	
B/Auckland/35/2002	other_database_import	
B/Christchurch/84/2002	other_database_import	
B/Taiwan/2643/2002-egg	other_database_import	
B/Sydney/70/2002	other_database_import	
B/Townsville/11/2002	other_database_import	
B/Victoria/502/2002	other_database_import	
B/Taiwan/3246/2002-egg	other_database_import	
B/NewYork/1051/2002	other_database_import	
B/Sydney/7/2002	other_database_import	
B/Sydney/213/2002	other_database_import	
B/Sydney/11/2002	other_database_import	
B/Brisbane/30/2002-egg	other_database_import	
B/Townsville/5/2002	other_database_import	
B/Sydney/72/2002	other_database_import	
B/Brisbane/25/2002-egg	other_database_import	
B/Victoria/356/2002	other_database_import	
B/Sydney/202/2002	other_database_import	
B/Brisbane/27/2002-egg	other_database_import	
B/Brisbane/24/2002-egg	other_database_import	
B/Brisbane/11/2002	other_database_import	
B/Victoria/113/2002	other_database_import	
B/Brisbane/2/2002	other_database_import	
B/Waikato/27/2002	other_database_import	
B/Victoria/412/2002	other_database_import	
B/NewYork/1050/2002	other_database_import	
B/Houston/B77/2002	other_database_import	
B/Houston/B74/2002	other_database_import	
B/Houston/B71/2002	other_database_import	
B/Jeju/303/2003	other_database_import	
B/HongKong/553a/2003	other_database_import	
B/Waikato/6/2002	other_database_import	
B/Houston/B88/2003	other_database_import	
B/HongKong/1351/2002-egg	pb2	seasonal_vic
B/Hawaii/NHRC0001/2003	other_database_import	
B/Thailand/CU-B2390/2010	other_database_import	
B/Singapore/616/2008	who_collaborating_centre_for_reference_and_research_on_influenza	singapore_general_hospital
B/Vietnam/107/2011	centers_for_disease_control_and_prevention	national_institute_of_hygiene_and_epidemiology
B/Vietnam/92/2011	centers_for_disease_control_and_prevention	national_institute_of_hygiene_and_epidemiology
B/Lao/89/2011	centers_for_disease_control_and_prevention	national_center_for_laboratory_and_epidemiology
B/Thailand/CU-B4585/2011	other_database_import	
B/Sydney/19/2005	other_database_import	
B/Taiwan/94/2005	other_database_import	
B/Taiwan/417/2005-egg	other_database_import	
B/Taiwan/70061/2006	other_database_import	
B/Wellington/69/2005	other_database_import	
B/Waikato/58/2005	other_database_import	
B/Christchurch/209/2005	other_database_import	
B/Wellington/94/2005	other_database_import	
