strain	originating_lab	submitting_lab
B/HongKong/330/2001-egg	seasonal_vic	np
B/HongKong/330/2001		other_database_import
B/HongKong/28/2001		other_database_import
B/HongKong/6/2001-egg	seasonal_vic	np
B/Akita/27/2001-egg	seasonal_vic	np
B/HongKong/22/2001		other_database_import
B/HongKong/123/2001-egg	seasonal_vic	np
B/HongKong/1434/2002-egg	seasonal_vic	np
B/HongKong/1115/2002-egg	seasonal_vic	np
B/HongKong/167/2002-egg	seasonal_vic	np
B/Hawaii/10/2001-egg	seasonal_vic	np
B/Victoria/506/2002		other_database_import
B/Trieste/28/2002		other_database_import
B/Henan/22/1997		other_database_import
B/Beijing/243/1997		other_database_import
B/Nanchang/2/1997		other_database_import
B/Chiba/447/1998		other_database_import
B/Nanchang/6/1998		other_database_import
B/Shandong/7/1997	erasmus_medical_center	other_database_import
B/Aichi/20/1999		other_database_import
B/Shiga/51/1998		other_database_import
B/Osaka/547/1997		other_database_import
B/Malaysia/15048/1998		other_database_import
B/Taiwan/1484/2001		other_database_import
B/Tehran/80/2002		other_database_import
B/Sydney/203/2002		other_database_import
B/Victoria/158/2002		other_database_import
B/Victoria/349/2002		other_database_import
B/Israel/95/2003		other_database_import
B/Sydney/204/2002		other_database_import
B/Victoria/149/2002		other_database_import
B/Barcelona/215/2003		other_database_import
B/Townsville/1/2002		other_database_import
B/Victoria/114/2002		other_database_import
B/Sydney/45/2002		other_database_import
B/Moscow/3/2003		other_database_import
B/Waikato/20/2002		other_database_import
B/Taiwan/2643/2002-egg		other_database_import
B/Wellington/7/2002		other_database_import
B/Sydney/211/2002		other_database_import
B/Perth/25/2002		other_database_import
B/Iowa/3/2002-egg	seasonal_vic	np
B/Taiwan/3246/2002-egg		other_database_import
B/Townsville/9/2002		other_database_import
B/Victoria/160/2002		other_database_import
B/Brisbane/32/2002-egg	seasonal_vic	np
B/Christchurch/90/2002		other_database_import
B/Victoria/143/2002		other_database_import
B/Houston/B70/2002		other_database_import
B/NewYork/1049/2002		other_database_import
B/NewYork/1051/2002		other_database_import
B/Sydney/7/2002		other_database_import
B/LosAngeles/1/2002		other_database_import
B/Brisbane/3/2002		other_database_import
B/Waikato/15/2002		other_database_import
B/Waikato/11/2002		other_database_import
B/Dunedin/1/2002		other_database_import
