strain	originating_lab	submitting_lab
A/Kumamoto/102/2002-egg	csl_ltd	who_collaborating_centre_for_reference_and_research_on_influenza
A/Netherlands/178/1995	national_institute_for_public_health_and_the_environment_(rivm)	other_database_import
A/HongKong/55/1995		other_database_import
A/HongKong/49/1995		other_database_import
A/Wuhan/359/1995		other_database_import
A/Fukushima/114/1996		other_database_import
A/Malaysia/7831/1995		other_database_import
A/Nanchang/933/1995	erasmus_medical_center	erasmus_medical_center
A/Niigata/137/1996		other_database_import
A/HongKong/20/1996		other_database_import
A/Shiga/20/1995		other_database_import
A/Miyagi/29/1995		other_database_import
A/Finland/339/1995		other_database_import
A/Osaka/c1/1995		other_database_import
A/HongKong/3/1995		other_database_import
A/Finland/338/1995		other_database_import
A/Malaysia/7145/1995		other_database_import
A/Malaysia/7832/1995		other_database_import
A/Memphis/24/1995		other_database_import
A/SouthAustralia/1/1995	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Ibaraki/1/1995		other_database_import
A/Kagoshima/10/1995		other_database_import
A/Gifu/2/1995		other_database_import
A/Niigata/124/1995		other_database_import
A/Tochigi/44/1995		other_database_import
A/Malaysia/11473/1996		other_database_import
A/Oslo/21/1997		other_database_import
A/Netherlands/5/1998		other_database_import
A/Johannesburg/10/1997		other_database_import
A/NewYork/564/1997		other_database_import
A/NewYork/575/1996		other_database_import
A/NewYork/565/1996		other_database_import
A/NewYork/600/1996		other_database_import
A/NewYork/599/1996		other_database_import
A/NewYork/576/1997		other_database_import
A/HongKong/CUHK4147/1997		other_database_import
A/NewYork/580/1996		other_database_import
A/Netherlands/1/1995		other_database_import
A/Brisbane/7/1996	queensland_health_forensic_and_scientific_services_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Finland/381/1995		other_database_import
A/NewYork/625/1996		other_database_import
A/NewYork/632/1996		other_database_import
A/Victoria/75/1995		other_database_import
A/Netherlands/271/1995		other_database_import
A/Lyon/2279/1995		other_database_import
A/Netherlands/91/1996		other_database_import
A/NewYork/623/1995		other_database_import
A/NewYork/628/1995		other_database_import
A/NewYork/634/1995		other_database_import
A/NewYork/639/1995		other_database_import
A/NewYork/611/1995		other_database_import
A/NewYork/612/1995		other_database_import
A/NewYork/618/1995		other_database_import
A/HongKong/434/1996		other_database_import
A/NewYork/648/1995		other_database_import
A/NewYork/647/1995		other_database_import
A/NewYork/637/1996		other_database_import
A/NewYork/610/1995		other_database_import
A/NewYork/619/1996		other_database_import
A/NewYork/622/1996		other_database_import
A/NewYork/606/1995		other_database_import
A/Geneva/3958/1996		other_database_import
A/Malaysia/10135/1996		other_database_import
A/Singapore/1/1996		other_database_import
A/Malaysia/10081/1996		other_database_import
A/Malaysia/10111/1996		other_database_import
A/NewYork/609/1995		other_database_import
A/Siena/1/1997		other_database_import
A/Taiwan/2191/1996		other_database_import
A/HongKong/358/1996		other_database_import
A/HongKong/CUHK22736/1997		other_database_import
A/HongKong/CUHK20199/1997		other_database_import
A/HongKong/CUHK20010/1997		other_database_import
A/HongKong/CUHK4391/1997		other_database_import
A/HongKong/CUHK4803/1997		other_database_import
A/HongKong/CUHK22048/1997		other_database_import
A/HongKong/CUHK4622/1997		other_database_import
A/Perth/201E/1998	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/Perth/9/1997	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/HongKong/CUHK22013/1997		other_database_import
