virus	gene	adaptation_rate
h3n2	ha	0.0038474338787798552
h1n1pdm	ha	0.002637141982138083
vic	ha	0.001222170304141931
yam	ha	0.000921284087170683
fluC	hef	0.0003770115107546897
229e	spike	0.000730357419847716
oc43	spike	0.0011494868730443253
nl63	spike	7.389134074980702e-05
