virus	gene	mut_type	rate	rate_per_nt	r2
avianH1a	ha	syn	4.58234878988029	0.0026986741989872	0.9513301959002584
avianH1a	ha	nonsyn	0.2148222303307424	0.000126514858852	0.2473779652155911
avianH1b	ha	syn	4.788457126254345	0.0028200572003853623	0.9002321855947059
avianH1b	ha	nonsyn	0.5796313269450858	0.0003413612055035841	0.6264644744182292
avianH3a	ha	syn	1.6022250407225993	0.0009435954303431091	0.8330039546757364
avianH3a	ha	nonsyn	0.041197556760476574	2.4262400919008583e-05	0.00856932212981947
avianH3b	ha	syn	2.72108658138475	0.001602524488448027	0.9490586340056208
avianH3b	ha	nonsyn	0.28643961894302583	0.00016869235509012122	0.5204230037894308
avianH3c	ha	syn	4.100384590819039	0.0024148319144988452	0.372908448681129
avianH3c	ha	nonsyn	0.4656612910190763	0.00027424104300298956	0.07156249285085353
